date,timestamp,circuit_no1,voltage_no1,circuit_no2,voltage_no2,circuit_no3,voltage_no3,circuit_no4,voltage_no4,circuit_no5,voltage_no5,circuit_no6,voltage_no6,circuit_no7,voltage_no7,circuit_no8,voltage_no8,circuit_no9,voltage_no9,circuit_no10,voltage_no10,circuit_no11,voltage_no11,circuit_no12,voltage_no12
2025-10-07,15:42:04,556,2.7174976,827,4.0420332,601,2.937439,487,2.3753667,1023,5.0,471,2.3020527,429,2.0967741,449,2.194526,469,2.2922776,861,4.2082109,72,0.3519062,453,2.2140763
2025-10-07,15:42:04,576,2.8152492,827,4.0420332,601,2.937439,541,2.6441839,1023,5.0,471,2.3020527,421,2.0576735,320,1.568915,518,2.5317693,1023,5.0,98,0.4740958,540,2.6392963
2025-10-07,15:42:04,576,2.8152492,722,3.5288367,669,3.2697947,547,2.6735094,1023,5.0,473,2.3118279,391,1.9110459,257,1.2561095,518,2.5317693,913,4.4672532,100,0.4887586,540,2.6392963
2025-10-07,15:42:04,574,2.805474,550,2.6930597,648,3.1671555,547,2.6735094,970,4.7409577,474,2.3167155,379,1.8523949,257,1.2561095,426,2.0821114,913,4.4672532,100,0.4887586,551,2.6930597
2025-10-07,15:42:04,549,2.6881721,369,1.8084066,648,3.1671555,523,2.5610948,873,4.27175,475,2.3216031,379,1.8523949,289,1.4125122,403,1.9745846,603,2.9472141,49,0.2394917,553,2.7028348
2025-10-07,15:42:04,542,2.6490715,369,1.8084066,670,3.2746823,489,2.3900294,768,3.7585533,475,2.3216031,392,1.9159335,408,1.9892473,403,1.9745846,332,1.627566,16,0.0782014,553,2.7028348
2025-10-07,15:42:04,542,2.6490715,199,0.9775171,680,3.3235581,405,1.9794722,768,3.7585533,476,2.3264906,409,1.9990225,408,1.9892473,375,1.8328446,332,1.627566,16,0.0782014,588,2.8739002
2025-10-07,15:42:05,541,2.6441839,13,0.0635386,660,3.2258065,405,1.9794722,379,1.8572825,476,2.3216031,409,1.9990225,472,2.3069403,344,1.6813294,30,0.1466276,56,0.2737048,590,2.8836756
2025-10-07,15:42:05,543,2.653959,13,0.0635386,660,3.2258065,367,1.7937438,62,0.3079179,476,2.3216031,390,1.9061583,518,2.5317693,336,1.6422287,32,0.1564027,76,0.3714565,590,2.8836756
2025-10-07,15:42:05,543,2.653959,0,0.0,664,3.2453568,348,1.7008798,62,0.3079179,475,2.3216031,400,1.9550343,584,2.8543499,336,1.6422287,35,0.1710655,76,0.3714565,678,3.3088953
2025-10-07,15:42:05,564,2.7565982,0,0.0,609,2.9765396,348,1.7008798,0,0.0,475,2.3216031,400,1.9550343,584,2.8543499,291,1.4271749,35,0.1710655,82,0.400782,767,3.7438905
2025-10-07,15:42:05,590,2.8836756,52,0.2492669,609,2.9765396,315,1.5395894,0,0.0,475,2.3216031,411,2.0087976,577,2.8201368,223,1.0899316,38,0.1808407,83,0.4105572,767,3.7438905
2025-10-07,15:42:05,590,2.8836756,52,0.2492669,652,3.1818182,378,1.8475074,0,0.0,475,2.3216031,420,2.0527859,540,2.6392963,223,1.0899316,40,0.1955034,83,0.4105572,890,4.3401761
