date,timestamp,circuit_no1,voltage_no1,circuit_no2,voltage_no2,circuit_no3,voltage_no3,circuit_no4,voltage_no4,circuit_no5,voltage_no5,circuit_no6,voltage_no6,circuit_no7,voltage_no7,circuit_no8,voltage_no8,circuit_no9,voltage_no9,circuit_no10,voltage_no10,circuit_no11,voltage_no11,circuit_no12,voltage_no12
2025-10-07,15:38:16,422,2.062561,1023,5.0,554,2.7077224,581,2.8396871,79,0.3861192,466,2.2776148,356,1.7399805,348,1.7008798,249,1.2218964,135,0.6598241,140,0.684262,720,3.5239491
2025-10-07,15:38:16,391,1.9110459,1023,5.0,554,2.7077224,500,2.4437928,81,0.3958944,465,2.2727273,356,1.7399805,318,1.5542521,220,1.0801564,135,0.6598241,159,0.7771261,626,3.0596285
2025-10-07,15:38:17,361,1.7644184,1023,5.0,475,2.3264906,492,2.4046922,84,0.4105572,465,2.2727273,338,1.6520039,239,1.1730205,220,1.0801564,243,1.1876833,134,0.6549364,626,3.0596285
2025-10-07,15:38:17,361,1.7644184,965,4.7214074,372,1.8181819,492,2.4046922,84,0.4105572,465,2.2727273,307,1.5004888,239,1.1730205,202,0.9872923,758,3.7047899,134,0.6549364,544,2.6637342
2025-10-07,15:38:17,367,1.7937438,866,4.2375364,372,1.8181819,451,2.1994135,86,0.42522,465,2.2727273,307,1.5004888,196,0.9628543,225,1.0997068,758,3.7047899,139,0.6793744,476,2.3264906
2025-10-07,15:38:17,390,1.9061583,866,4.2375364,335,1.6373411,426,2.0869989,89,0.4349951,465,2.2727273,366,1.7888563,181,0.884653,225,1.0997068,1023,5.0,150,0.7331378,476,2.3264906
2025-10-07,15:38:17,390,1.9061583,792,3.8709676,306,1.4956012,296,1.4467254,89,0.4349951,464,2.2678397,409,1.9990225,181,0.884653,284,1.3880743,1023,5.0,150,0.7331378,412,2.0136852
2025-10-07,15:38:17,383,1.8719453,816,3.9882698,306,1.4956012,296,1.4467254,91,0.4447703,464,2.2678397,409,1.9990225,158,0.7722385,349,1.7008798,1023,5.0,150,0.7331378,330,1.6129032
2025-10-07,15:38:17,357,1.744868,816,3.9882698,282,1.3782991,210,1.0263929,94,0.459433,464,2.2678397,254,1.2463343,156,0.7624633,402,1.9648094,1023,5.0,150,0.7331378,330,1.6129032
2025-10-07,15:38:17,357,1.744868,779,3.8074291,268,1.3098729,173,0.8406647,94,0.459433,465,2.2776148,16,0.0782014,250,1.2218964,402,1.9648094,989,4.8387098,150,0.7331378,257,1.2561095
2025-10-07,15:38:17,332,1.6226784,828,4.0469208,322,1.5738026,173,0.8406647,96,0.4692082,466,2.2776148,16,0.0782014,250,1.2218964,410,2.0039101,989,4.8387098,144,0.7038123,222,1.085044
2025-10-07,15:38:17,329,1.6080157,828,4.0469208,322,1.5738026,216,1.0557184,99,0.483871,466,2.2776148,0,0.0,372,1.8132943,358,1.7497556,852,4.1691103,170,0.8308895,222,1.085044
2025-10-07,15:38:18,329,1.6080157,793,3.880743,320,1.5640274,283,1.3880743,99,0.483871,466,2.2776148,0,0.0,425,2.0772238,358,1.7497556,927,4.5307918,170,0.8308895,175,0.8553275
2025-10-07,15:38:18,325,1.5884653,1023,5.0,383,1.8719453,283,1.3880743,475,2.3118279,467,2.2825024,2,0.0097752,425,2.0772238,421,2.0576735,927,4.5307918,238,1.1632453,218,1.060606
2025-10-07,15:38:18,342,1.6715542,1023,5.0,383,1.8719453,354,1.7302053,968,4.7311826,467,2.2825024,2,0.0097752,449,2.194526,453,2.2140763,911,4.457478,269,1.3147606,218,1.060606
2025-10-07,15:38:18,342,1.6715542,1023,5.0,378,1.8475074,424,2.0772238,968,4.7311826,467,2.2825024,6,0.0293255,474,2.3167155,453,2.2140763,858,4.1984358,269,1.3147606,216,1.0557184
2025-10-07,15:38:18,323,1.5786902,1023,5.0,371,1.8132943,424,2.0772238,868,4.242424,468,2.2825024,11,0.0537634,474,2.3167155,437,2.135875,858,4.1984358,284,1.3880743,217,1.060606
2025-10-07,15:38:18,345,1.686217,981,4.7996092,371,1.8132943,492,2.4046922,902,4.4086022,467,2.2825024,11,0.0537634,475,2.3216031,401,1.9599218,815,3.9833822,446,2.1798632,217,1.060606
2025-10-07,15:38:18,350,1.710655,981,4.7996092,396,1.9354838,519,2.5366569,585,2.864125,467,2.2825024,165,0.8064516,384,1.8768328,401,1.9599218,681,3.3284457,446,2.1798632,250,1.2218964
2025-10-07,15:38:18,350,1.710655,923,4.5112414,387,1.886608,519,2.5366569,585,2.864125,468,2.2922776,294,1.4369501,384,1.8768328,371,1.8132943,681,3.3284457,348,1.7008798,289,1.4076246
2025-10-07,15:38:18,375,1.8328446,999,4.8826981,387,1.886608,507,2.4780059,95,0.4643206,469,2.2922776,294,1.4369501,270,1.3245357,480,2.346041,726,3.5483871,184,0.8993157,393,1.9208211
2025-10-07,15:38:18,370,1.8084066,999,4.8826981,417,2.0381231,544,2.6588466,97,0.4740958,469,2.2922776,377,1.8426198,208,1.0166178,449,2.194526,620,3.0351906,184,0.8993157,393,1.9208211
2025-10-07,15:38:19,370,1.8084066,976,4.7702837,382,1.8670577,493,2.4144673,97,0.4740958,468,2.28739,435,2.121212,208,1.0166178,449,2.194526,620,3.0351906,70,0.342131,408,1.9941349
2025-10-07,15:38:19,369,1.803519,930,4.5454545,382,1.8670577,493,2.4144673,100,0.4887586,470,2.2971652,435,2.121212,267,1.3000977,472,2.3069403,525,2.5659823,52,0.2541544,427,2.0869989
2025-10-07,15:38:19,394,1.9257087,930,4.5454545,391,1.9110459,234,1.1485826,102,0.4985337,470,2.2971652,551,2.6930597,322,1.5738026,475,2.3216031,439,2.1505377,52,0.2541544,427,2.0869989
2025-10-07,15:38:19,394,1.9257087,851,4.1593351,432,2.1114368,54,0.2639296,102,0.4985337,468,2.28739,623,3.0449657,354,1.7302053,475,2.3216031,439,2.1505377,56,0.2737048,418,2.0430107
2025-10-07,15:38:19,395,1.9305962,746,3.6510265,471,2.3020527,54,0.2639296,105,0.5083089,468,2.28739,667,3.2600195,354,1.7302053,538,2.6295211,322,1.5738026,20,0.0977517,412,2.0136852
2025-10-07,15:38:19,412,2.0136852,626,3.0596285,471,2.3020527,70,0.342131,107,0.5229716,468,2.28739,667,3.2600195,432,2.1114368,542,2.6490715,225,1.1045944,20,0.0977517,412,2.0136852
2025-10-07,15:38:19,412,2.0136852,626,3.0596285,509,2.487781,143,0.7038123,107,0.5229716,467,2.28739,681,3.3284457,416,2.0381231,542,2.6490715,225,1.1045944,0,0.0,419,2.0478983
2025-10-07,15:38:19,435,2.1309874,457,2.2336266,497,2.4291301,143,0.7038123,110,0.5376344,468,2.28739,668,3.2649071,416,2.0381231,480,2.3509285,84,0.4056696,0,0.0,395,1.9305962
2025-10-07,15:38:19,456,2.2336266,385,1.886608,497,2.4291301,179,0.8748778,112,0.5474096,467,2.28739,668,3.2649071,366,1.7888563,507,2.4780059,146,0.7135875,42,0.2052786,395,1.9305962
2025-10-07,15:38:19,439,2.1456501,385,1.886608,556,2.7174976,188,0.9188661,115,0.5571848,467,2.28739,620,3.0351906,482,2.3558161,507,2.4780059,146,0.7135875,42,0.2052786,478,2.3362658
2025-10-07,15:38:20,439,2.1456501,227,1.1143695,545,2.6637342,188,0.9188661,115,0.5571848,468,2.28739,584,2.8543499,482,2.3558161,511,2.4975562,96,0.4692082,129,0.6304985,480,2.346041
2025-10-07,15:38:20,444,2.1700881,58,0.28348,545,2.6637342,199,0.9726295,117,0.5718475,469,2.2922776,584,2.8543499,411,2.0087976,466,2.2776148,94,0.459433,168,0.8211144,480,2.346041
