date,timestamp,circuit_no1,voltage_no1,circuit_no2,voltage_no2,circuit_no3,voltage_no3,circuit_no4,voltage_no4,circuit_no5,voltage_no5,circuit_no6,voltage_no6,circuit_no7,voltage_no7,circuit_no8,voltage_no8,circuit_no9,voltage_no9,circuit_no10,voltage_no10,circuit_no11,voltage_no11,circuit_no12,voltage_no12
2025-10-07,16:01:13,479,2.3411534,630,3.0840664,453,2.2140763,247,1.2072337,489,2.3900294,488,2.3851418,507,2.4780059,499,2.4437928,361,1.7644184,658,3.2160313,2,0.0097752,596,2.9130011
2025-10-07,16:01:13,479,2.3411534,630,3.0840664,453,2.2140763,321,1.568915,455,2.2189639,488,2.3851418,482,2.3558161,479,2.3411534,361,1.7644184,708,3.4604106,2,0.0097752,630,3.0791788
2025-10-07,16:01:13,487,2.3802543,505,2.4682307,464,2.2678397,321,1.568915,455,2.2189639,487,2.3851418,478,2.3362658,479,2.3411534,350,1.7057674,708,3.4604106,4,0.0146628,590,2.8836756
2025-10-07,16:01:13,512,2.5024438,496,2.4242425,464,2.2678397,372,1.8181819,462,2.2580645,487,2.3802543,478,2.3362658,507,2.4780059,305,1.4907136,744,3.6363637,20,0.0977517,590,2.8836756
2025-10-07,16:01:13,527,2.5757575,496,2.4242425,473,2.3118279,389,1.9061583,486,2.3753667,487,2.3802543,471,2.3069403,484,2.3655913,305,1.4907136,735,3.5972629,20,0.0977517,574,2.8103616
2025-10-07,16:01:13,527,2.5757575,551,2.6930597,484,2.3704789,412,2.0136852,486,2.3753667,487,2.3851418,482,2.3558161,484,2.3655913,282,1.3782991,735,3.5972629,23,0.1075269,572,2.7956989
2025-10-07,16:01:13,529,2.5855327,470,2.3020527,484,2.3704789,412,2.0136852,464,2.2678397,488,2.3851418,482,2.3558161,519,2.5366569,278,1.3587488,662,3.2355816,22,0.1124145,572,2.7956989
2025-10-07,16:01:13,526,2.5708699,470,2.3020527,412,2.0136852,458,2.2385142,483,2.3607037,488,2.3851418,502,2.453568,510,2.4926686,292,1.4271749,628,3.0694036,22,0.1124145,459,2.2434018
2025-10-07,16:01:13,526,2.5708699,359,1.7546432,392,1.9159335,501,2.4486804,483,2.3607037,488,2.3851418,498,2.4291301,510,2.4926686,292,1.4271749,628,3.0694036,9,0.0439883,395,1.9305962
2025-10-07,16:01:14,528,2.5806451,332,1.627566,392,1.9159335,501,2.4486804,597,2.9130011,487,2.3851418,498,2.4291301,474,2.3216031,303,1.4760509,582,2.8494623,2,0.0048876,395,1.9305962
2025-10-07,16:01:14,534,2.6099706,332,1.627566,433,2.121212,542,2.6490715,781,3.8123167,487,2.3851418,504,2.4633431,440,2.1505377,298,1.4565005,553,2.7028348,2,0.0048876,377,1.8426198
2025-10-07,16:01:14,534,2.6099706,268,1.3098729,434,2.121212,584,2.8543499,781,3.8123167,488,2.3851418,557,2.7223852,431,2.1065493,298,1.4565005,553,2.7028348,13,0.0635386,383,1.8719453
2025-10-07,16:01:14,528,2.5806451,422,2.0674486,435,2.1309874,584,2.8543499,919,4.4916911,489,2.3900294,557,2.7223852,431,2.1065493,305,1.4907136,607,2.9667645,27,0.1319648,383,1.8719453
2025-10-07,16:01:14,526,2.5708699,422,2.0674486,435,2.1309874,615,3.0058651,888,4.3450637,488,2.3851418,519,2.5366569,446,2.1798632,335,1.6373411,659,3.2209189,27,0.1319648,359,1.7546432
2025-10-07,16:01:14,526,2.5708699,694,3.3919845,578,2.8250244,558,2.7272727,888,4.3450637,488,2.3851418,403,1.969697,428,2.0918865,335,1.6373411,659,3.2209189,0,0.0,292,1.4271749
2025-10-07,16:01:14,510,2.4975562,829,4.0518084,638,3.1133919,558,2.7272727,719,3.5190616,487,2.3802543,447,2.1847508,428,2.0918865,345,1.686217,660,3.2258065,16,0.0782014,292,1.4271749
2025-10-07,16:01:14,514,2.512219,704,3.4457479,638,3.1133919,471,2.3020527,622,3.0400782,488,2.3851418,447,2.1847508,409,1.9990225,354,1.7302053,616,3.0107527,16,0.0782014,280,1.368524
2025-10-07,16:01:14,514,2.512219,704,3.4457479,568,2.7761486,393,1.9208211,516,2.5219941,488,2.3851418,493,2.4144673,362,1.7693059,354,1.7302053,616,3.0107527,69,0.3372434,280,1.368524
2025-10-07,16:01:14,511,2.4975562,727,3.5581622,557,2.7223852,393,1.9208211,516,2.5219941,489,2.3900294,506,2.4731183,362,1.7693059,397,1.9354838,577,2.8250244,73,0.3567937,280,1.368524
2025-10-07,16:01:15,506,2.4731183,706,3.4506354,557,2.7223852,387,1.8914956,427,2.0869989,489,2.3900294,506,2.4731183,281,1.3734115,448,2.1896384,517,2.5268817,73,0.3567937,287,1.402737
2025-10-07,16:01:15,505,2.4682307,706,3.4506354,553,2.7028348,418,2.0430107,359,1.7595308,489,2.3900294,521,2.546432,287,1.402737,448,2.1896384,517,2.5268817,65,0.3176931,345,1.6813294
2025-10-07,16:01:15,505,2.4682307,739,3.6119256,538,2.6295211,449,2.194526,359,1.7595308,488,2.3851418,498,2.4340177,287,1.402737,507,2.4780059,512,2.5073314,39,0.1906158,345,1.6813294
2025-10-07,16:01:15,499,2.4389052,741,3.6217008,538,2.6295211,449,2.194526,283,1.3831867,488,2.3851418,498,2.4340177,317,1.5493646,484,2.3655913,511,2.4975562,39,0.1906158,333,1.627566
2025-10-07,16:01:15,490,2.394917,741,3.6217008,516,2.5219941,477,2.3313782,247,1.2023461,488,2.3851418,480,2.3509285,278,1.3636364,458,2.2385142,511,2.4975562,41,0.200391,318,1.5542521
2025-10-07,16:01:15,490,2.394917,717,3.5043988,493,2.4095798,499,2.4389052,247,1.2023461,488,2.3851418,469,2.2922776,278,1.3636364,458,2.2385142,507,2.4780059,36,0.1759531,328,1.5982405
2025-10-07,16:01:15,484,2.3704789,746,3.6461389,510,2.487781,499,2.4389052,266,1.2952101,488,2.3851418,469,2.2922776,256,1.2512219,418,2.0430107,514,2.5171065,36,0.1759531,328,1.5982405
2025-10-07,16:01:15,493,2.4144673,746,3.6461389,510,2.487781,521,2.546432,398,1.9452591,488,2.3851418,512,2.5024438,456,2.2238514,371,1.8132943,514,2.5171065,50,0.2443793,430,2.1016617
2025-10-07,16:01:15,493,2.4144673,728,3.5630498,532,2.605083,558,2.7272727,398,1.9452591,487,2.3802543,476,2.3313782,382,1.8670577,371,1.8132943,487,2.3802543,27,0.1319648,450,2.194526
2025-10-07,16:01:15,500,2.4437928,605,2.9569893,458,2.2434018,558,2.7272727,304,1.485826,487,2.3802543,476,2.3313782,382,1.8670577,348,1.7008798,462,2.2580645,27,0.1319648,450,2.194526
2025-10-07,16:01:16,501,2.4486804,546,2.6686218,458,2.2434018,540,2.6441839,303,1.4809384,487,2.3802543,477,2.3264906,448,2.1896384,339,1.661779,462,2.2580645,18,0.0879765,512,2.5024438
2025-10-07,16:01:16,501,2.4486804,546,2.6686218,451,2.2043011,505,2.4682307,303,1.4809384,487,2.3802543,488,2.3900294,603,2.9472141,339,1.661779,454,2.2189639,38,0.1808407,615,3.0058651
2025-10-07,16:01:16,480,2.346041,519,2.5415444,475,2.3216031,505,2.4682307,362,1.7741935,487,2.3802543,487,2.3802543,603,2.9472141,354,1.7302053,417,2.0381231,38,0.1808407,615,3.0058651
2025-10-07,16:01:16,493,2.4095798,536,2.6246333,475,2.3216031,488,2.3851418,427,2.0869989,487,2.3802543,487,2.3802543,539,2.6295211,343,1.6764418,417,2.0381231,19,0.0928641,567,2.771261
2025-10-07,16:01:16,502,2.4584556,536,2.6246333,502,2.4584556,418,2.0430107,431,2.1016617,487,2.3802543,464,2.2678397,519,2.5366569,343,1.6764418,402,1.9648094,7,0.0342131,543,2.653959
2025-10-07,16:01:16,502,2.4584556,540,2.6441839,503,2.4584556,418,2.0430107,431,2.1016617,488,2.3851418,426,2.0821114,519,2.5366569,305,1.4907136,425,2.0772238,14,0.0635386,543,2.653959
2025-10-07,16:01:16,516,2.5219941,525,2.5708699,503,2.4584556,393,1.9208211,597,2.9178886,488,2.3851418,426,2.0821114,593,2.8934507,275,1.3440861,425,2.0772238,14,0.0635386,577,2.8152492
2025-10-07,16:01:16,526,2.5708699,525,2.5708699,508,2.4828935,417,2.0381231,851,4.1544476,488,2.3851418,407,1.9941349,533,2.605083,275,1.3440861,431,2.1065493,7,0.0391007,592,2.8934507
2025-10-07,16:01:16,526,2.5708699,508,2.487781,483,2.3655913,455,2.2238514,851,4.1544476,488,2.3851418,411,2.0087976,533,2.605083,288,1.4076246,434,2.121212,3,0.0146628,592,2.8934507
2025-10-07,16:01:16,521,2.546432,475,2.3216031,483,2.3655913,455,2.2238514,1015,4.9608994,488,2.3851418,411,2.0087976,492,2.4046922,316,1.5395894,434,2.121212,3,0.0146628,565,2.7663734
2025-10-07,16:01:17,525,2.5659823,475,2.3216031,476,2.3264906,487,2.3802543,1019,4.9804497,488,2.3851418,429,2.0967741,498,2.4340177,332,1.627566,460,2.2482893,0,0.0,565,2.7663734
2025-10-07,16:01:17,525,2.5659823,366,1.7937438,500,2.4437928,531,2.5953078,1019,4.9804497,489,2.3900294,444,2.1700881,467,2.2825024,332,1.627566,460,2.2531769,0,0.0,565,2.7663734
2025-10-07,16:01:17,509,2.4926686,231,1.1339198,473,2.3118279,531,2.5953078,1012,4.9511242,489,2.3851418,444,2.1700881,467,2.2825024,325,1.5884653,460,2.2531769,0,0.0,528,2.5806451
