date,timestamp,circuit_no1,voltage_no1,circuit_no2,voltage_no2,circuit_no3,voltage_no3,circuit_no4,voltage_no4,circuit_no5,voltage_no5,circuit_no6,voltage_no6,circuit_no7,voltage_no7,circuit_no8,voltage_no8,circuit_no9,voltage_no9,circuit_no10,voltage_no10,circuit_no11,voltage_no11,circuit_no12,voltage_no12
2025-10-07,15:55:47,505,2.4682307,395,1.9257087,399,1.9501467,428,2.0918865,480,2.346041,481,2.3509285,473,2.3118279,478,2.3362658,361,1.7644184,557,2.7223852,108,0.5278592,161,0.7869013
2025-10-07,15:55:47,505,2.4682307,403,1.9745846,373,1.827957,447,2.1847508,480,2.346041,481,2.3509285,477,2.3313782,503,2.4584556,361,1.7644184,557,2.7223852,105,0.5083089,313,1.5298142
2025-10-07,15:55:47,520,2.5415444,434,2.121212,273,1.3343109,447,2.1847508,498,2.4340177,481,2.3509285,463,2.2678397,503,2.4584556,359,1.7546432,532,2.6001954,104,0.5083089,313,1.5298142
2025-10-07,15:55:47,517,2.5268817,396,1.9403715,273,1.3343109,466,2.2776148,481,2.3509285,481,2.3509285,463,2.2678397,491,2.3998046,358,1.7497556,514,2.5171065,104,0.5083089,445,2.1749756
2025-10-07,15:55:47,521,2.546432,396,1.9403715,177,0.8651026,525,2.5659823,481,2.3509285,481,2.3509285,451,2.2043011,466,2.2776148,358,1.7497556,514,2.5171065,94,0.459433,504,2.4633431
2025-10-07,15:55:47,521,2.546432,375,1.827957,244,1.1876833,525,2.5659823,469,2.28739,480,2.346041,457,2.2336266,466,2.2776148,382,1.8670577,480,2.346041,106,0.5131965,504,2.4633431
2025-10-07,15:55:48,530,2.5904202,441,2.1554253,244,1.1876833,513,2.5073314,502,2.453568,480,2.346041,457,2.2336266,531,2.5953078,414,2.028348,521,2.546432,106,0.5131965,621,3.0351906
2025-10-07,15:55:48,559,2.7321603,441,2.1554253,406,1.9843597,475,2.3264906,548,2.6783969,480,2.346041,488,2.3851418,547,2.6735094,427,2.0869989,521,2.546432,128,0.6256109,700,3.4213099
2025-10-07,15:55:48,559,2.7321603,454,2.2189639,477,2.3313782,475,2.3264906,548,2.6783969,479,2.3411534,480,2.346041,547,2.6735094,427,2.0869989,634,3.0987291,103,0.5034213,700,3.4213099
2025-10-07,15:55:48,587,2.8690126,414,2.0234604,477,2.3313782,475,2.3264906,538,2.6295211,480,2.346041,480,2.346041,540,2.6392963,430,2.1016617,660,3.2258065,103,0.5034213,708,3.4604106
2025-10-07,15:55:48,574,2.805474,414,2.0234604,534,2.6148582,488,2.3851418,496,2.4291301,480,2.346041,501,2.453568,483,2.3558161,438,2.1407626,660,3.2258065,108,0.5278592,682,3.3333333
2025-10-07,15:55:48,574,2.805474,389,1.9012707,614,3.0009775,473,2.3118279,496,2.4291301,481,2.3509285,452,2.2091887,411,2.0136852,438,2.1407626,634,3.0987291,103,0.5034213,682,3.3333333
2025-10-07,15:55:48,566,2.7663734,297,1.4516129,601,2.937439,473,2.3118279,398,1.9452591,481,2.3509285,452,2.2091887,411,2.0136852,419,2.0478983,540,2.6392963,103,0.5034213,640,3.1280549
2025-10-07,15:55:48,545,2.6637342,297,1.4516129,601,2.937439,480,2.346041,373,1.8230695,481,2.3509285,461,2.2531769,349,1.7057674,401,1.9599218,540,2.6392963,119,0.5816227,625,3.0547409
2025-10-07,15:55:48,545,2.6637342,338,1.6471163,624,3.0498533,488,2.3851418,373,1.8230695,480,2.346041,510,2.4926686,373,1.8230695,401,1.9599218,530,2.5904202,173,0.8455523,625,3.0547409
2025-10-07,15:55:48,505,2.4731183,263,1.285435,642,3.1427176,488,2.3851418,427,2.0869989,480,2.3509285,527,2.5806451,373,1.8230695,405,1.9794722,544,2.6588466,173,0.8455523,733,3.5826001
