date,timestamp,circuit_no1,voltage_no1,circuit_no2,voltage_no2,circuit_no3,voltage_no3,circuit_no4,voltage_no4,circuit_no5,voltage_no5,circuit_no6,voltage_no6,circuit_no7,voltage_no7,circuit_no8,voltage_no8,circuit_no9,voltage_no9,circuit_no10,voltage_no10,circuit_no11,voltage_no11,circuit_no12,voltage_no12
2025-10-16,14:19:32,1023,5.0,25,0.1221896,445,2.1749756,259,1.2658846,713,3.4848485,448,2.1896384,8,0.0342131,502,2.453568,258,1.2609971,327,1.5982405,76,0.3714565,603,2.9472141
2025-10-16,14:19:32,1023,5.0,28,0.1368524,445,2.1749756,259,1.2658846,607,2.971652,448,2.1896384,8,0.0342131,488,2.3851418,264,1.2903225,164,0.801564,60,0.2883675,735,3.5874877
2025-10-16,14:19:33,1023,5.0,28,0.1368524,470,2.2971652,286,1.3978494,535,2.6148582,448,2.1896384,11,0.0537634,476,2.3264906,275,1.3440861,65,0.3225806,60,0.2883675,735,3.5874877
2025-10-16,14:19:33,1023,5.0,30,0.1466276,493,2.4046922,313,1.5298142,535,2.6148582,449,2.194526,14,0.0684262,475,2.3216031,275,1.3440861,65,0.3225806,49,0.2394917,804,3.9296188
2025-10-16,14:19:33,1023,5.0,33,0.1612903,486,2.3753667,313,1.5298142,446,2.1798632,449,2.194526,14,0.0684262,475,2.3216031,297,1.4516129,67,0.3274682,32,0.1564027,708,3.4604106
2025-10-16,14:19:33,1023,5.0,33,0.1612903,486,2.3753667,318,1.5542521,280,1.3734115,449,2.194526,17,0.083089,475,2.3264906,322,1.5738026,69,0.3372434,2,0.0097752,708,3.4604106
2025-10-16,14:19:33,1023,5.0,35,0.1759531,477,2.3313782,303,1.4809384,280,1.3734115,449,2.194526,20,0.0977517,472,2.3118279,322,1.5738026,69,0.3372434,2,0.0097752,595,2.9081135
2025-10-16,14:19:33,1023,5.0,38,0.1857283,476,2.3264906,303,1.4809384,48,0.2346041,448,2.1896384,23,0.1124145,472,2.3118279,353,1.7253177,70,0.3470186,12,0.0537634,428,2.0967741
2025-10-16,14:19:33,783,3.831867,40,0.1955034,476,2.3264906,304,1.485826,0,0.0,448,2.1896384,23,0.1124145,475,2.3216031,370,1.8084066,72,0.3519062,8,0.0391007,428,2.0967741
2025-10-16,14:19:33,447,2.1896384,40,0.1955034,470,2.2971652,282,1.3782991,0,0.0,448,2.1896384,26,0.1270772,465,2.2727273,370,1.8084066,74,0.3616813,8,0.0391007,281,1.3734115
2025-10-16,14:19:33,447,2.1896384,43,0.2052786,446,2.1798632,229,1.1192571,0,0.0,448,2.1896384,29,0.14174,465,2.2727273,400,1.9550343,74,0.3616813,0,0.0,149,0.7331378
2025-10-16,14:19:33,173,0.8455523,45,0.2199413,446,2.1798632,229,1.1192571,0,0.0,448,2.1896384,29,0.14174,465,2.2727273,418,2.0430107,76,0.3714565,0,0.0,149,0.7331378
2025-10-16,14:19:34,0,0.0,45,0.2199413,424,2.0723362,142,0.6989247,3,0.0097752,448,2.1896384,32,0.1515152,466,2.2825024,435,2.1260998,78,0.3812317,0,0.0,50,0.2443793
2025-10-16,14:19:34,0,0.0,57,0.2785924,412,2.0136852,101,0.4936461,3,0.0097752,448,2.1896384,34,0.1661779,466,2.2825024,435,2.1260998,78,0.3812317,10,0.0439883,0,0.0
2025-10-16,14:19:34,0,0.0,213,1.0410557,412,2.0136852,101,0.4936461,6,0.0293255,448,2.1896384,34,0.1661779,440,2.1505377,477,2.3313782,257,1.2561095,43,0.2101662,0,0.0
2025-10-16,14:19:34,0,0.0,213,1.0410557,406,1.9843597,94,0.4643206,70,0.3372434,448,2.1896384,37,0.1808407,431,2.1065493,485,2.3704789,446,2.1798632,43,0.2101662,10,0.0488759
2025-10-16,14:19:34,0,0.0,218,1.0703813,427,2.0821114,103,0.5034213,70,0.3372434,448,2.1896384,40,0.1955034,436,2.1309874,485,2.3704789,446,2.1798632,76,0.3665689,193,0.9384164
2025-10-16,14:19:34,0,0.0,209,1.0215054,458,2.2385142,103,0.5034213,130,0.6353861,448,2.1896384,40,0.1955034,436,2.1309874,481,2.3509285,591,2.8836756,108,0.5278592,193,0.9384164
2025-10-16,14:19:34,0,0.0,209,1.0215054,458,2.2385142,156,0.7624633,76,0.3763441,448,2.1896384,43,0.2052786,412,2.0136852,503,2.4584556,913,4.4623656,108,0.5278592,266,1.3000977
2025-10-16,14:19:34,0,0.0,302,1.4760509,510,2.4926686,209,1.0215054,76,0.3763441,448,2.1896384,45,0.2199413,385,1.886608,503,2.4584556,913,4.4623656,133,0.6500489,267,1.3000977
2025-10-16,14:19:34,0,0.0,471,2.3020527,544,2.6588466,209,1.0215054,15,0.0733138,449,2.1896384,48,0.2346041,385,1.886608,511,2.4975562,944,4.6187682,163,0.7966765,267,1.3000977
2025-10-16,14:19:34,0,0.0,670,3.2746823,544,2.6588466,258,1.2609971,17,0.083089,448,2.1896384,48,0.2346041,379,1.8523949,511,2.5024438,791,3.8709676,163,0.7966765,315,1.544477
2025-10-16,14:19:35,0,0.0,670,3.2746823,578,2.8250244,311,1.5200391,20,0.0977517,448,2.1896384,50,0.2443793,393,1.9208211,511,2.5024438,791,3.8709676,186,0.9042033,367,1.7937438
2025-10-16,14:19:35,0,0.0,870,4.2521996,573,2.8005865,311,1.5200391,20,0.0977517,448,2.1896384,53,0.259042,393,1.9208211,507,2.4780059,741,3.6265886,217,1.060606,367,1.7937438
2025-10-16,14:19:35,0,0.0,1023,5.0,573,2.8005865,339,1.6568915,23,0.1124145,447,2.1896384,53,0.259042,390,1.9110459,491,2.3998046,674,3.2942326,217,1.060606,337,1.6520039
2025-10-16,14:19:35,0,0.0,1023,5.0,562,2.7468231,360,1.7644184,25,0.1221896,447,2.1896384,56,0.2688172,386,1.886608,491,2.3998046,674,3.2942326,229,1.1241447,206,1.0068426
2025-10-16,14:19:35,0,0.0,1023,5.0,548,2.6783969,365,1.7839687,25,0.1221896,448,2.1896384,58,0.28348,386,1.886608,467,2.2825024,672,3.2844574,246,1.2023461,206,1.0068426
2025-10-16,14:19:35,1,0.0048876,1023,5.0,548,2.6783969,365,1.7839687,28,0.1319648,448,2.1896384,58,0.28348,380,1.8572825,440,2.1505377,690,3.3724339,246,1.2023461,32,0.1612903
2025-10-16,14:19:35,4,0.0146628,1023,5.0,549,2.6832845,386,1.886608,30,0.1466276,448,2.1896384,128,0.6304985,365,1.7839687,409,1.9990225,690,3.3724339,263,1.285435,0,0.0
2025-10-16,14:19:35,4,0.0146628,1019,4.9804497,552,2.7028348,427,2.0869989,30,0.1466276,448,2.1896384,457,2.2434018,365,1.7839687,409,1.9990225,681,3.3284457,279,1.3636364,0,0.0
2025-10-16,14:19:35,6,0.0293255,970,4.7409577,564,2.7565982,427,2.0869989,33,0.1612903,448,2.1896384,457,2.2434018,366,1.7888563,384,1.8768328,562,2.7468231,279,1.3636364,0,0.0
