date,timestamp,circuit_no1,voltage_no1,circuit_no2,voltage_no2,circuit_no3,voltage_no3,circuit_no4,voltage_no4,circuit_no5,voltage_no5,circuit_no6,voltage_no6,circuit_no7,voltage_no7,circuit_no8,voltage_no8,circuit_no9,voltage_no9,circuit_no10,voltage_no10,circuit_no11,voltage_no11,circuit_no12,voltage_no12
2025-10-07,15:36:35,670,3.2746823,58,0.2883675,361,1.7693059,1023,5.0,7,0.0342131,438,2.1407626,108,0.5278592,415,2.028348,536,2.6246333,444,2.1700881,58,0.28348,555,2.71261
2025-10-07,15:36:35,518,2.5317693,43,0.2101662,361,1.7693059,1023,5.0,10,0.0488759,438,2.1407626,108,0.5278592,335,1.6373411,445,2.1749756,540,2.6344087,115,0.5620723,555,2.71261
2025-10-07,15:36:35,410,2.0087976,43,0.2101662,223,1.0899316,1023,5.0,10,0.0488759,439,2.1456501,111,0.5376344,242,1.1876833,584,2.8543499,566,2.771261,115,0.5620723,549,2.6832845
2025-10-07,15:36:35,410,2.0087976,46,0.2248289,181,0.884653,1023,5.0,13,0.0635386,440,2.1505377,112,0.5474096,227,1.1094819,584,2.8543499,566,2.771261,127,0.6207234,543,2.653959
2025-10-07,15:36:36,383,1.8768328,49,0.2394917,181,0.884653,1023,5.0,16,0.0782014,440,2.1505377,114,0.5571848,227,1.1094819,610,2.9814272,581,2.8396871,145,0.7086999,543,2.653959
2025-10-07,15:36:36,375,1.8328446,49,0.2394917,281,1.368524,905,4.4281526,19,0.0928641,440,2.1505377,114,0.5571848,285,1.3929619,705,3.4457479,579,2.8347995,145,0.7086999,528,2.5806451
2025-10-07,15:36:36,375,1.8328446,53,0.2541544,369,1.803519,905,4.4281526,19,0.0928641,440,2.1505377,185,0.9042033,354,1.7302053,705,3.4457479,579,2.8347995,114,0.5571848,525,2.5659823
2025-10-07,15:36:36,340,1.661779,233,1.1339198,329,1.6080157,658,3.2209189,22,0.1075269,442,2.1603129,683,3.3333333,354,1.7302053,506,2.4780059,494,2.4193549,84,0.4056696,525,2.5659823
2025-10-07,15:36:36,341,1.6666666,233,1.1339198,329,1.6080157,337,1.6520039,25,0.1221896,442,2.1603129,683,3.3333333,373,1.8230695,233,1.143695,600,2.9325514,84,0.4056696,462,2.2629521
2025-10-07,15:36:36,341,1.6666666,579,2.8201368,368,1.7986314,13,0.0684262,25,0.1221896,442,2.1652005,1023,5.0,448,2.1896384,233,1.143695,600,2.9325514,87,0.42522,493,2.4095798
2025-10-07,15:36:36,393,1.9208211,956,4.6725316,446,2.1847508,13,0.0684262,29,0.1368524,441,2.1554253,1010,4.9364614,448,2.1896384,237,1.1632453,691,3.3773217,82,0.4056696,493,2.4095798
2025-10-07,15:36:36,448,2.1896384,1023,5.0,446,2.1847508,0,0.0,31,0.1515152,441,2.1554253,1010,4.9364614,485,2.3704789,92,0.4496579,743,3.6314762,82,0.4056696,571,2.7859237
2025-10-07,15:36:36,451,2.2043011,1023,5.0,454,2.2189639,18,0.0928641,31,0.1515152,441,2.1554253,958,4.6774192,449,2.194526,67,0.3225806,743,3.6314762,120,0.5816227,626,3.0596285
2025-10-07,15:36:36,451,2.2043011,870,4.2619748,479,2.3411534,18,0.0928641,34,0.1661779,442,2.1603129,1023,5.0,449,2.194526,67,0.3225806,726,3.5532746,229,1.1192571,626,3.0596285
2025-10-07,15:36:37,400,1.9550343,398,1.9550343,479,2.3411534,0,0.0,37,0.1808407,442,2.1603129,1023,5.0,395,1.9305962,188,0.9188661,591,2.8885632,229,1.1192571,696,3.396872
2025-10-07,15:36:37,358,1.7546432,398,1.9550343,528,2.5806451,0,0.0,37,0.1808407,441,2.1554253,1023,5.0,440,2.1505377,225,1.0997068,591,2.8885632,135,0.6598241,709,3.4652982
