date,timestamp,circuit_no1,voltage_no1,circuit_no2,voltage_no2,circuit_no3,voltage_no3,circuit_no4,voltage_no4,circuit_no5,voltage_no5,circuit_no6,voltage_no6,circuit_no7,voltage_no7,circuit_no8,voltage_no8,circuit_no9,voltage_no9,circuit_no10,voltage_no10,circuit_no11,voltage_no11,circuit_no12,voltage_no12
2025-10-07,15:43:48,523,2.5562072,796,3.8905182,475,2.3216031,342,1.6715542,610,2.9814272,493,2.4095798,470,2.3020527,449,2.194526,320,1.5640274,68,0.3323558,4,0.0195503,667,3.255132
2025-10-07,15:43:48,516,2.5219941,759,3.7096775,475,2.3216031,342,1.6715542,480,2.346041,494,2.4144673,470,2.3020527,451,2.2091887,298,1.4565005,70,0.342131,8,0.0391007,667,3.255132
2025-10-07,15:43:48,521,2.546432,759,3.7096775,465,2.2727273,315,1.5395894,436,2.1260998,494,2.4144673,474,2.3167155,458,2.2385142,280,1.368524,73,0.3519062,8,0.0391007,690,3.3724339
2025-10-07,15:43:48,521,2.546432,725,3.5483871,415,2.028348,295,1.4418378,436,2.1260998,494,2.4144673,462,2.2580645,458,2.2385142,280,1.368524,73,0.3519062,62,0.3079179,685,3.3528836
2025-10-07,15:43:48,512,2.5024438,648,3.1720431,352,1.7204301,295,1.4418378,500,2.4437928,494,2.4144673,462,2.2580645,459,2.2385142,270,1.3196481,75,0.3665689,75,0.3665689,685,3.3528836
2025-10-07,15:43:48,496,2.4291301,648,3.1720431,352,1.7204301,266,1.3000977,577,2.8201368,494,2.4144673,435,2.1260998,436,2.1309874,288,1.4076246,77,0.3763441,75,0.3665689,677,3.3040078
2025-10-07,15:43:48,496,2.4291301,584,2.8592374,423,2.062561,270,1.3147606,577,2.8201368,495,2.4144673,436,2.1309874,420,2.0576735,288,1.4076246,77,0.3763441,81,0.3958944,671,3.2795699
2025-10-07,15:43:48,528,2.5806451,487,2.3802543,503,2.4584556,270,1.3147606,623,3.0449657,495,2.4193549,436,2.1309874,420,2.0576735,336,1.6422287,79,0.3861192,97,0.4692082,671,3.2795699
2025-10-07,15:43:48,498,2.4340177,378,1.8475074,503,2.4584556,265,1.2952101,540,2.6392963,496,2.4242425,460,2.2482893,387,1.8914956,356,1.7399805,81,0.3958944,97,0.4692082,739,3.6119256
2025-10-07,15:43:49,498,2.4340177,378,1.8475074,402,1.9648094,296,1.4467254,540,2.6392963,496,2.4242425,454,2.2189639,399,1.9501467,356,1.7399805,81,0.3958944,94,0.4643206,790,3.8611925
2025-10-07,15:43:49,479,2.3411534,347,1.7008798,349,1.7057674,296,1.4467254,464,2.2727273,495,2.4193549,441,2.1554253,399,1.9501467,381,1.8621701,84,0.4056696,70,0.3470186,790,3.8611925
2025-10-07,15:43:49,503,2.4584556,304,1.485826,349,1.7057674,326,1.5933529,373,1.8230695,495,2.4193549,441,2.1554253,436,2.1309874,382,1.8670577,86,0.4203323,70,0.3470186,771,3.7683284
2025-10-07,15:43:49,519,2.5415444,304,1.485826,383,1.8719453,376,1.8377322,285,1.3978494,495,2.4193549,428,2.0918865,465,2.2727273,382,1.8670577,86,0.4203323,62,0.3030303,750,3.6656892
2025-10-07,15:43:49,519,2.5415444,277,1.3587488,388,1.9012707,376,1.8377322,285,1.3978494,495,2.4193549,437,2.135875,465,2.2727273,388,1.8963832,88,0.4301075,71,0.3470186,750,3.6656892
2025-10-07,15:43:49,499,2.4389052,229,1.1192571,388,1.9012707,414,2.0234604,219,1.0703813,494,2.4144673,437,2.135875,519,2.5366569,379,1.8523949,90,0.4398827,71,0.3470186,744,3.6363637
2025-10-07,15:43:49,466,2.2776148,229,1.1192571,431,2.1065493,435,2.1260998,183,0.8944281,494,2.4144673,456,2.228739,584,2.8543499,379,1.8523949,90,0.4398827,57,0.2785924,723,3.5337243
