date,timestamp,circuit_no1,voltage_no1,circuit_no2,voltage_no2,circuit_no3,voltage_no3,circuit_no4,voltage_no4,circuit_no5,voltage_no5,circuit_no6,voltage_no6,circuit_no7,voltage_no7,circuit_no8,voltage_no8,circuit_no9,voltage_no9,circuit_no10,voltage_no10,circuit_no11,voltage_no11,circuit_no12,voltage_no12
2025-10-07,15:39:42,536,2.6197457,550,2.6832845,471,2.3020527,19,0.0879765,277,1.3489736,492,2.4046922,402,1.9648094,482,2.3558161,275,1.3489736,165,0.7966765,3,0.0146628,579,2.8250244
2025-10-07,15:39:42,530,2.5904202,510,2.4975562,471,2.3020527,0,0.0,376,1.8377322,491,2.3998046,372,1.8181819,512,2.5024438,392,1.9159335,267,1.3098729,0,0.0,579,2.8250244
2025-10-07,15:39:43,521,2.546432,510,2.4975562,431,2.1065493,26,0.1270772,346,1.6911047,491,2.3998046,418,2.0430107,534,2.6099706,392,1.9159335,108,0.5278592,0,0.0,702,3.4359727
2025-10-07,15:39:43,521,2.546432,240,1.1779081,342,1.6715542,26,0.1270772,346,1.6911047,490,2.394917,344,1.686217,534,2.6099706,384,1.8817204,108,0.5278592,13,0.0635386,747,3.6461389
2025-10-07,15:39:43,505,2.4682307,767,3.7438905,342,1.6715542,26,0.1270772,518,2.5317693,489,2.3900294,344,1.686217,565,2.7614858,434,2.1163244,276,1.3440861,22,0.1026393,790,3.8611925
2025-10-07,15:39:43,515,2.5171065,767,3.7438905,487,2.3802543,49,0.2443793,562,2.7468231,489,2.3900294,279,1.3636364,579,2.8299119,434,2.1163244,369,1.803519,22,0.1026393,790,3.8611925
2025-10-07,15:39:43,515,2.5171065,774,3.7878788,486,2.3753667,99,0.483871,562,2.7468231,489,2.3900294,325,1.5884653,579,2.8299119,425,2.0821114,369,1.803519,20,0.0928641,747,3.6510265
2025-10-07,15:39:43,508,2.4828935,693,3.3870969,486,2.3753667,99,0.483871,548,2.6735094,490,2.394917,325,1.5884653,534,2.6099706,401,1.9599218,552,2.6930597,9,0.0439883,739,3.6119256
2025-10-07,15:39:43,502,2.453568,693,3.3870969,474,2.3167155,193,0.943304,574,2.805474,490,2.394917,368,1.7986314,476,2.3264906,397,1.9403715,666,3.2600195,13,0.0635386,739,3.6119256
2025-10-07,15:39:43,502,2.453568,651,3.1818182,521,2.546432,239,1.1681329,574,2.805474,490,2.3998046,405,1.9794722,476,2.3264906,397,1.9403715,666,3.2600195,13,0.0635386,749,3.6608016
2025-10-07,15:39:43,492,2.4046922,582,2.8445747,528,2.5806451,239,1.1681329,541,2.6490715,491,2.4046922,405,1.9794722,439,2.1456501,376,1.8377322,519,2.5366569,113,0.5522972,668,3.2649071
2025-10-07,15:39:44,483,2.3607037,582,2.8445747,528,2.5806451,275,1.3440861,517,2.5268817,491,2.4046922,406,1.9892473,423,2.0674486,315,1.5395894,409,2.0087976,152,0.742913,668,3.2649071
