date,timestamp,circuit_no1,voltage_no1,circuit_no2,voltage_no2,circuit_no3,voltage_no3,circuit_no4,voltage_no4,circuit_no5,voltage_no5,circuit_no6,voltage_no6,circuit_no7,voltage_no7,circuit_no8,voltage_no8,circuit_no9,voltage_no9,circuit_no10,voltage_no10,circuit_no11,voltage_no11,circuit_no12,voltage_no12
2025-10-07,16:03:46,509,2.487781,359,1.7546432,497,2.4340177,473,2.3118279,62,0.3030303,487,2.3802543,431,2.1065493,469,2.2922776,367,1.7937438,507,2.4780059,5,0.0244379,529,2.5855327
2025-10-07,16:03:46,499,2.4389052,362,1.7741935,521,2.546432,473,2.3118279,189,0.9188661,487,2.3851418,431,2.1065493,528,2.5806451,368,1.7986314,520,2.546432,13,0.0635386,558,2.7272727
2025-10-07,16:03:46,519,2.5366569,362,1.7741935,521,2.546432,475,2.3216031,408,1.9941349,487,2.3851418,429,2.0967741,548,2.6783969,364,1.7790811,523,2.5610948,11,0.0537634,558,2.7272727
2025-10-07,16:03:46,519,2.5366569,320,1.5640274,506,2.4731183,477,2.3362658,408,1.9941349,488,2.3851418,442,2.1603129,502,2.4584556,364,1.7790811,524,2.5610948,11,0.0537634,573,2.8005865
2025-10-07,16:03:46,519,2.5366569,316,1.544477,509,2.487781,477,2.3362658,507,2.4780059,489,2.3900294,453,2.2140763,502,2.4584556,366,1.7888563,524,2.5610948,21,0.1026393,562,2.7468231
2025-10-07,16:03:46,530,2.5855327,270,1.3196481,509,2.487781,481,2.3509285,458,2.2385142,489,2.3900294,453,2.2140763,468,2.28739,360,1.7644184,516,2.5219941,16,0.0782014,562,2.7468231
2025-10-07,16:03:47,530,2.5855327,270,1.3196481,471,2.3069403,480,2.346041,230,1.1241447,489,2.3900294,463,2.2629521,305,1.4956012,360,1.7644184,505,2.4682307,16,0.0782014,539,2.6344087
2025-10-07,16:03:47,530,2.5904202,166,0.801564,410,1.9941349,480,2.346041,230,1.1241447,489,2.3900294,480,2.3509285,305,1.4956012,362,1.7693059,505,2.4682307,7,0.0293255,453,2.2091887
2025-10-07,16:03:47,522,2.5513196,367,1.7937438,410,1.9941349,486,2.3753667,260,1.2756598,489,2.3900294,480,2.3509285,427,2.0869989,344,1.686217,545,2.6637342,43,0.2101662,453,2.2091887
2025-10-07,16:03:47,517,2.5268817,367,1.7937438,560,2.7419355,471,2.3020527,113,0.5522972,489,2.3900294,483,2.3607037,476,2.3264906,344,1.686217,514,2.512219,43,0.2101662,587,2.8690126
2025-10-07,16:03:47,517,2.5268817,315,1.544477,544,2.6588466,454,2.2189639,113,0.5522972,488,2.3851418,474,2.3167155,476,2.3264906,333,1.627566,514,2.512219,33,0.1612903,571,2.7908113
2025-10-07,16:03:47,520,2.5415444,254,1.2414467,544,2.6588466,454,2.2189639,72,0.3519062,487,2.3851418,474,2.3167155,457,2.2336266,349,1.7057674,462,2.2580645,34,0.1661779,571,2.7908113
2025-10-07,16:03:47,512,2.5024438,254,1.2414467,506,2.4731183,459,2.2434018,75,0.3616813,487,2.3851418,470,2.3020527,444,2.1652005,346,1.6911047,480,2.346041,34,0.1661779,555,2.71261
2025-10-07,16:03:47,512,2.5024438,237,1.1583577,489,2.3900294,454,2.2238514,75,0.3616813,487,2.3802543,482,2.3558161,444,2.1652005,346,1.6911047,480,2.346041,41,0.200391,531,2.5953078
2025-10-07,16:03:47,539,2.6344087,270,1.3196481,516,2.5219941,454,2.2238514,77,0.3763441,488,2.3851418,482,2.3558161,448,2.1896384,338,1.6520039,489,2.3900294,30,0.1466276,531,2.5953078
2025-10-07,16:03:47,551,2.6930597,270,1.3196481,516,2.5219941,334,1.6373411,79,0.3861192,488,2.3851418,465,2.2776148,446,2.1798632,345,1.686217,497,2.4291301,30,0.1466276,537,2.6246333
2025-10-07,16:03:48,551,2.6930597,292,1.4271749,506,2.4731183,254,1.2414467,79,0.3861192,488,2.3851418,476,2.3264906,445,2.1798632,345,1.686217,497,2.4291301,31,0.1515152,549,2.6832845
2025-10-07,16:03:48,553,2.7028348,342,1.6715542,516,2.5268817,254,1.2414467,188,0.9188661,489,2.3900294,476,2.3264906,445,2.1798632,341,1.6666666,500,2.4486804,25,0.1221896,549,2.6832845
2025-10-07,16:03:48,549,2.6832845,384,1.8768328,516,2.5268817,252,1.2316716,391,1.9110459,489,2.3900294,483,2.3607037,443,2.1652005,334,1.6324536,495,2.4193549,25,0.1221896,543,2.653959
2025-10-07,16:03:48,549,2.6832845,384,1.8768328,497,2.4291301,280,1.368524,391,1.9110459,489,2.3900294,539,2.6344087,462,2.2580645,334,1.6324536,495,2.4193549,26,0.1270772,526,2.5708699
2025-10-07,16:03:48,558,2.7321603,452,2.2091887,518,2.5317693,280,1.368524,520,2.5415444,487,2.3802543,528,2.5806451,462,2.2580645,326,1.5933529,511,2.4975562,24,0.1173021,526,2.5708699
2025-10-07,16:03:48,551,2.6930597,489,2.3900294,518,2.5317693,360,1.7546432,525,2.5659823,488,2.3851418,528,2.5806451,472,2.3118279,325,1.5884653,516,2.5268817,24,0.1173021,545,2.6637342
2025-10-07,16:03:48,554,2.7077224,489,2.3900294,504,2.4633431,401,1.9599218,494,2.4144673,488,2.3851418,515,2.5171065,456,2.228739,325,1.5884653,516,2.5268817,4,0.0195503,521,2.546432
2025-10-07,16:03:48,554,2.7077224,554,2.7028348,515,2.5171065,401,1.9599218,494,2.4144673,488,2.3851418,519,2.5366569,456,2.228739,320,1.5640274,525,2.5659823,12,0.058651,521,2.546432
2025-10-07,16:03:48,541,2.6441839,624,3.0498533,515,2.5171065,448,2.1896384,566,2.7663734,488,2.3851418,519,2.5366569,512,2.5024438,355,1.7350929,524,2.5610948,12,0.058651,527,2.5757575
