date,timestamp,circuit_no1,voltage_no1,circuit_no2,voltage_no2,circuit_no3,voltage_no3,circuit_no4,voltage_no4,circuit_no5,voltage_no5,circuit_no6,voltage_no6,circuit_no7,voltage_no7,circuit_no8,voltage_no8,circuit_no9,voltage_no9,circuit_no10,voltage_no10,circuit_no11,voltage_no11,circuit_no12,voltage_no12
2025-10-07,15:59:32,526,2.5708699,0,0.0,503,2.4584556,595,2.9081135,877,4.2864127,485,2.3704789,439,2.1456501,443,2.1652005,313,1.5298142,701,3.4261975,28,0.1319648,240,1.1779081
2025-10-07,15:59:32,579,2.8299119,3,0.0146628,519,2.5366569,595,2.9081135,873,4.2668624,485,2.3704789,398,1.9452591,443,2.1652005,338,1.6520039,693,3.3919845,34,0.1661779,240,1.1779081
2025-10-07,15:59:32,585,2.8592374,6,0.0293255,519,2.5366569,692,3.3822093,863,4.2179861,485,2.3704789,398,1.9452591,439,2.1456501,359,1.7546432,693,3.3919845,34,0.1661779,164,0.801564
2025-10-07,15:59:32,612,2.9912024,6,0.0293255,505,2.4682307,767,3.7487781,863,4.2179861,485,2.3704789,369,1.803519,461,2.2531769,359,1.7546432,665,3.2502444,40,0.1955034,107,0.5229716
2025-10-07,15:59:33,612,2.9912024,9,0.0439883,517,2.5268817,767,3.7487781,795,3.8905182,486,2.3753667,346,1.6911047,461,2.2531769,357,1.744868,589,2.8836756,48,0.2346041,107,0.5229716
2025-10-07,15:59:33,657,3.2111437,12,0.058651,517,2.5268817,838,4.0957966,723,3.5386119,485,2.3704789,346,1.6911047,450,2.1994135,371,1.8132943,589,2.8836756,48,0.2346041,71,0.3470186
2025-10-07,15:59:33,629,3.0791788,12,0.058651,537,2.6246333,879,4.2961879,532,2.605083,485,2.3704789,390,1.9061583,448,2.1896384,407,1.9892473,600,2.9325514,52,0.2541544,21,0.1026393
2025-10-07,15:59:33,629,3.0791788,15,0.0684262,547,2.6783969,879,4.2961879,532,2.605083,486,2.3753667,429,2.0967741,481,2.3509285,407,1.9892473,613,3.0009775,27,0.1270772,21,0.1026393
2025-10-07,15:59:33,627,3.0694036,17,0.083089,547,2.6783969,912,4.457478,413,2.0185728,486,2.3753667,429,2.0967741,481,2.3509285,419,2.0478983,613,3.0009775,27,0.1270772,24,0.1124145
2025-10-07,15:59:33,644,3.1476052,17,0.083089,560,2.7370479,915,4.4770284,380,1.8572825,486,2.3753667,444,2.1700881,490,2.394917,446,2.1798632,623,3.0498533,10,0.0488759,26,0.1270772
2025-10-07,15:59:33,644,3.1476052,20,0.0928641,531,2.5953078,859,4.1984358,380,1.8572825,485,2.3704789,486,2.3753667,495,2.4242425,446,2.1798632,594,2.9032259,0,0.0,26,0.1270772
2025-10-07,15:59:33,613,3.0009775,74,0.3616813,502,2.453568,859,4.1984358,368,1.7986314,486,2.3753667,501,2.453568,495,2.4242425,481,2.3509285,594,2.9032259,0,0.0,109,0.5327469
2025-10-07,15:59:33,495,2.4193549,74,0.3616813,502,2.453568,810,3.9589443,313,1.5298142,486,2.3753667,501,2.453568,479,2.3411534,446,2.1798632,441,2.1603129,24,0.1173021,277,1.3538612
2025-10-07,15:59:33,495,2.4193549,186,0.9090909,466,2.2776148,752,3.680352,313,1.5298142,486,2.3753667,518,2.5366569,481,2.3509285,446,2.1798632,349,1.710655,14,0.0684262,277,1.3538612
2025-10-07,15:59:34,436,2.1309874,297,1.4516129,460,2.2482893,752,3.680352,285,1.3929619,486,2.3753667,559,2.7321603,481,2.3509285,458,2.2385142,283,1.3831867,14,0.0684262,448,2.1896384
2025-10-07,15:59:34,397,1.9403715,233,1.1388074,460,2.2482893,674,3.2942326,307,1.4956012,486,2.3753667,559,2.7321603,435,2.1309874,440,2.1505377,283,1.3831867,6,0.0244379,635,3.1036167
2025-10-07,15:59:34,397,1.9403715,233,1.1388074,446,2.1798632,560,2.7370479,307,1.4956012,486,2.3753667,632,3.088954,238,1.1681329,440,2.1505377,278,1.3587488,67,0.3225806,635,3.1036167
2025-10-07,15:59:34,414,2.0234604,384,1.8768328,465,2.2727273,560,2.7370479,348,1.7008798,486,2.3753667,537,2.6246333,238,1.1681329,456,2.228739,409,1.9990225,67,0.3225806,787,3.8465297
2025-10-07,15:59:34,438,2.1407626,562,2.7419355,465,2.2727273,499,2.4437928,383,1.8768328,487,2.3802543,537,2.6246333,235,1.1485826,450,2.2043011,409,1.9990225,63,0.3079179,902,4.4086022
2025-10-07,15:59:34,432,2.1114368,562,2.7419355,580,2.8347995,494,2.4144673,422,2.062561,487,2.3802543,442,2.1603129,357,1.744868,450,2.2043011,520,2.5415444,44,0.2150538,902,4.4086022
2025-10-07,15:59:34,432,2.1114368,599,2.9276638,675,3.2991202,494,2.4144673,422,2.062561,488,2.3851418,461,2.2531769,357,1.744868,417,2.0381231,580,2.8347995,44,0.2150538,966,4.7214074
2025-10-07,15:59:34,520,2.5415444,473,2.3118279,675,3.2991202,485,2.3704789,464,2.2678397,488,2.3851418,461,2.2531769,461,2.2482893,388,1.8963832,580,2.8347995,0,0.0,898,4.3841643
2025-10-07,15:59:34,541,2.6441839,473,2.3118279,638,3.1182795,478,2.3362658,488,2.3900294,488,2.3851418,509,2.4926686,476,2.3264906,397,1.9403715,637,3.1133919,0,0.0,898,4.3841643
2025-10-07,15:59:34,541,2.6441839,288,1.4076246,611,2.9863148,503,2.4633431,488,2.3900294,489,2.3900294,482,2.3558161,476,2.3264906,397,1.9403715,629,3.0791788,0,0.0,873,4.2668624
2025-10-07,15:59:35,567,2.771261,111,0.542522,611,2.9863148,503,2.4633431,528,2.5757575,489,2.3900294,482,2.3558161,436,2.1309874,360,1.7546432,629,3.0791788,6,0.0244379,734,3.5923753
2025-10-07,15:59:35,630,3.0791788,111,0.542522,581,2.8445747,527,2.5757575,533,2.605083,489,2.3900294,591,2.8885632,423,2.0674486,366,1.7888563,641,3.1329424,18,0.0879765,734,3.5923753
2025-10-07,15:59:35,630,3.0791788,265,1.2903225,514,2.5171065,541,2.6441839,533,2.605083,489,2.3900294,566,2.771261,394,1.9257087,366,1.7888563,607,2.971652,18,0.0879765,536,2.6197457
2025-10-07,15:59:35,647,3.1622679,461,2.2482893,496,2.4193549,541,2.6441839,522,2.5513196,489,2.3900294,540,2.6392963,394,1.9257087,354,1.7302053,607,2.971652,7,0.0342131,318,1.5542521
2025-10-07,15:59:35,568,2.7761486,461,2.2482893,496,2.4193549,514,2.512219,486,2.3753667,489,2.3900294,540,2.6392963,416,2.0332355,368,1.7937438,566,2.7663734,0,0.0,318,1.5542521
2025-10-07,15:59:35,568,2.7761486,601,2.937439,476,2.3264906,494,2.4144673,486,2.3753667,490,2.394917,508,2.487781,440,2.1505377,368,1.7937438,557,2.7223852,0,0.0,315,1.5395894
2025-10-07,15:59:35,546,2.6686218,720,3.5190616,545,2.6637342,494,2.4144673,542,2.6441839,490,2.394917,514,2.512219,440,2.1505377,371,1.8132943,557,2.7223852,22,0.1026393,273,1.3294233
