date,timestamp,circuit_no1,voltage_no1,circuit_no2,voltage_no2,circuit_no3,voltage_no3,circuit_no4,voltage_no4,circuit_no5,voltage_no5,circuit_no6,voltage_no6,circuit_no7,voltage_no7,circuit_no8,voltage_no8,circuit_no9,voltage_no9,circuit_no10,voltage_no10,circuit_no11,voltage_no11,circuit_no12,voltage_no12
2025-10-07,16:02:22,486,2.3753667,589,2.878788,453,2.2140763,445,2.1749756,482,2.3558161,482,2.3607037,486,2.3753667,414,2.0234604,378,1.8475074,502,2.453568,15,0.0684262,577,2.8201368
2025-10-07,16:02:22,486,2.3753667,600,2.9325514,479,2.3362658,445,2.1749756,482,2.3558161,482,2.3558161,468,2.28739,414,2.0234604,380,1.8572825,503,2.4584556,33,0.1612903,577,2.8201368
2025-10-07,16:02:22,459,2.2482893,552,2.6979473,479,2.3362658,454,2.2189639,490,2.3998046,482,2.3558161,468,2.28739,429,2.0967741,359,1.7546432,475,2.3216031,33,0.1612903,664,3.2453568
2025-10-07,16:02:22,460,2.2482893,552,2.6979473,473,2.3118279,470,2.2971652,481,2.346041,482,2.3558161,474,2.3167155,432,2.1114368,350,1.710655,475,2.3216031,5,0.0244379,575,2.8103616
2025-10-07,16:02:22,460,2.2482893,525,2.5659823,480,2.3411534,485,2.3704789,481,2.346041,482,2.3558161,427,2.0918865,432,2.1114368,350,1.710655,470,2.2971652,5,0.0244379,575,2.8103616
2025-10-07,16:02:22,447,2.1847508,560,2.7370479,480,2.3411534,485,2.3704789,462,2.2580645,483,2.3607037,427,2.0918865,459,2.2434018,357,1.744868,455,2.2238514,5,0.0244379,565,2.7614858
2025-10-07,16:02:22,458,2.2385142,560,2.7370479,461,2.2531769,493,2.4095798,483,2.3607037,483,2.3607037,415,2.028348,495,2.4193549,374,1.827957,455,2.2238514,2,0.0097752,546,2.6686218
2025-10-07,16:02:22,458,2.2385142,555,2.7174976,456,2.228739,485,2.3753667,483,2.3607037,483,2.3558161,416,2.0332355,523,2.5562072,374,1.827957,443,2.1652005,0,0.0,546,2.6686218
2025-10-07,16:02:23,469,2.2922776,562,2.7468231,466,2.2776148,485,2.3753667,496,2.4242425,482,2.3607037,416,2.0332355,523,2.5562072,387,1.8914956,435,2.1260998,0,0.0,552,2.6979473
2025-10-07,16:02:23,494,2.4144673,562,2.7468231,466,2.2776148,493,2.4144673,510,2.4926686,483,2.3655913,406,1.9843597,518,2.5317693,381,1.8621701,435,2.1260998,16,0.0782014,551,2.6930597
2025-10-07,16:02:23,494,2.4144673,500,2.4437928,474,2.3167155,493,2.4144673,510,2.4926686,483,2.3655913,357,1.744868,499,2.4389052,381,1.8621701,393,1.9257087,8,0.0391007,516,2.5268817
2025-10-07,16:02:23,539,2.6392963,435,2.1260998,427,2.0869989,493,2.4144673,509,2.487781,483,2.3607037,366,1.7839687,499,2.4389052,366,1.7937438,375,1.8328446,8,0.0391007,516,2.5268817
2025-10-07,16:02:23,569,2.7810361,479,2.346041,427,2.0869989,505,2.4682307,523,2.5562072,483,2.3607037,366,1.7839687,491,2.3998046,356,1.7399805,375,1.8328446,19,0.0928641,514,2.512219
2025-10-07,16:02:23,559,2.7370479,479,2.346041,483,2.3607037,495,2.4193549,559,2.7321603,483,2.3607037,414,2.0234604,561,2.7419355,356,1.7399805,395,1.9305962,28,0.1368524,559,2.7321603
2025-10-07,16:02:23,559,2.7370479,509,2.4828935,560,2.7370479,495,2.4193549,559,2.7321603,483,2.3607037,426,2.0821114,561,2.7419355,361,1.7644184,404,1.9745846,28,0.1368524,559,2.7321603
2025-10-07,16:02:23,522,2.5562072,561,2.7468231,560,2.7370479,495,2.4193549,562,2.7419355,483,2.3607037,426,2.0821114,546,2.6686218,345,1.686217,404,1.9745846,10,0.0488759,551,2.6930597
2025-10-07,16:02:23,507,2.4780059,561,2.7468231,582,2.8494623,499,2.4389052,565,2.7614858,483,2.3607037,512,2.4975562,483,2.3607037,345,1.686217,396,1.9354838,9,0.0439883,538,2.6295211
2025-10-07,16:02:23,507,2.4780059,522,2.5513196,484,2.3704789,498,2.4340177,565,2.7614858,483,2.3607037,521,2.546432,483,2.3607037,360,1.7595308,426,2.0821114,9,0.0439883,538,2.6295211
2025-10-07,16:02:24,526,2.5708699,499,2.4437928,484,2.3704789,498,2.4340177,539,2.6344087,483,2.3607037,521,2.546432,462,2.2580645,355,1.7350929,426,2.0821114,9,0.0391007,558,2.7272727
2025-10-07,16:02:24,558,2.7272727,499,2.4437928,426,2.0821114,488,2.3900294,513,2.5073314,483,2.3607037,519,2.5415444,450,2.1994135,359,1.7546432,470,2.2971652,20,0.0977517,557,2.7272727
2025-10-07,16:02:24,558,2.7272727,529,2.5855327,444,2.1700881,480,2.346041,513,2.5073314,482,2.3558161,527,2.5757575,486,2.3753667,359,1.7546432,505,2.4682307,42,0.200391,557,2.7272727
2025-10-07,16:02:24,550,2.6881721,621,3.0351906,491,2.3998046,480,2.346041,544,2.6588466,482,2.3558161,527,2.5757575,486,2.3753667,367,1.7937438,505,2.4682307,42,0.200391,590,2.8836756
2025-10-07,16:02:24,529,2.5904202,621,3.0351906,491,2.3998046,474,2.3167155,520,2.546432,482,2.3558161,485,2.3704789,541,2.6441839,361,1.7644184,525,2.5659823,34,0.1661779,622,3.0400782
2025-10-07,16:02:24,529,2.5904202,642,3.13783,509,2.487781,467,2.2825024,520,2.546432,482,2.3607037,459,2.2434018,474,2.3167155,361,1.7644184,532,2.6001954,17,0.083089,622,3.0400782
2025-10-07,16:02:24,513,2.5073314,567,2.7761486,493,2.4095798,467,2.2825024,425,2.0772238,483,2.3655913,469,2.2922776,474,2.3167155,352,1.7204301,532,2.6001954,17,0.083089,577,2.8201368
