date,timestamp,circuit_no1,voltage_no1,circuit_no2,voltage_no2,circuit_no3,voltage_no3,circuit_no4,voltage_no4,circuit_no5,voltage_no5,circuit_no6,voltage_no6,circuit_no7,voltage_no7,circuit_no8,voltage_no8,circuit_no9,voltage_no9,circuit_no10,voltage_no10,circuit_no11,voltage_no11,circuit_no12,voltage_no12
2025-10-07,15:45:25,479,2.3411534,599,2.9276638,481,2.3558161,619,3.0254154,378,1.8475074,480,2.346041,561,2.7419355,435,2.1260998,420,2.0478983,260,1.2756598,20,0.0977517,167,0.8113392
2025-10-07,15:45:25,486,2.3753667,702,3.4310851,481,2.3558161,619,3.0254154,382,1.8670577,480,2.346041,561,2.7419355,378,1.8523949,396,1.9354838,73,0.3567937,0,0.0,167,0.8113392
2025-10-07,15:45:25,486,2.3753667,702,3.4310851,359,1.7546432,544,2.6588466,282,1.3831867,480,2.346041,550,2.6881721,353,1.7253177,333,1.627566,15,0.0733138,0,0.0,309,1.5102639
2025-10-07,15:45:25,486,2.3753667,735,3.5923753,361,1.7644184,529,2.5855327,282,1.3831867,481,2.3509285,541,2.6490715,337,1.6471163,333,1.627566,15,0.0733138,12,0.0537634,408,1.9892473
2025-10-07,15:45:25,455,2.228739,754,3.680352,377,1.8426198,529,2.5855327,159,0.7820137,481,2.3509285,541,2.6490715,337,1.6471163,340,1.661779,0,0.0,84,0.4105572,408,1.9892473
2025-10-07,15:45:25,457,2.2336266,754,3.680352,377,1.8426198,518,2.5317693,197,0.9579667,481,2.3509285,508,2.4828935,330,1.6129032,373,1.8181819,95,0.4643206,84,0.4105572,444,2.1700881
2025-10-07,15:45:26,457,2.2336266,865,4.2277613,448,2.1896384,438,2.1407626,197,0.9579667,480,2.346041,521,2.546432,283,1.3831867,373,1.8181819,95,0.4643206,167,0.8113392,520,2.5366569
2025-10-07,15:45:26,442,2.1603129,819,4.0078201,437,2.135875,438,2.1407626,257,1.2561095,481,2.3509285,498,2.4340177,283,1.3831867,412,2.0136852,21,0.1026393,184,0.8993157,520,2.5366569
2025-10-07,15:45:26,457,2.2336266,711,3.4750733,437,2.135875,258,1.2658846,337,1.6471163,481,2.3509285,498,2.4340177,253,1.2365592,369,1.803519,0,0.0,184,0.8993157,502,2.453568
2025-10-07,15:45:26,457,2.2336266,711,3.4750733,443,2.1652005,163,0.7966765,337,1.6471163,481,2.3509285,495,2.4193549,264,1.2903225,369,1.803519,0,0.0,186,0.9090909,484,2.3655913
2025-10-07,15:45:26,473,2.3167155,634,3.1036167,464,2.2678397,163,0.7966765,306,1.4956012,481,2.3509285,459,2.2482893,264,1.2903225,364,1.7839687,0,0.0,186,0.9139785,484,2.3655913
2025-10-07,15:45:26,504,2.4633431,582,2.8445747,464,2.2678397,189,0.9237537,182,0.8895406,481,2.3509285,459,2.2482893,286,1.3978494,367,1.7937438,0,0.0,186,0.9139785,473,2.3118279
2025-10-07,15:45:26,538,2.6295211,582,2.8445747,507,2.4780059,288,1.402737,44,0.2150538,481,2.3509285,446,2.1847508,336,1.6422287,367,1.7937438,0,0.0,177,0.8651026,484,2.3655913
2025-10-07,15:45:26,538,2.6295211,543,2.653959,528,2.5806451,288,1.402737,44,0.2150538,480,2.346041,428,2.0918865,336,1.6422287,364,1.7790811,0,0.0,157,0.7673509,484,2.3655913
2025-10-07,15:45:26,543,2.653959,451,2.2043011,528,2.5806451,394,1.9208211,0,0.0,481,2.3558161,428,2.0918865,358,1.744868,344,1.6813294,0,0.0,157,0.7673509,502,2.453568
2025-10-07,15:45:27,532,2.6001954,451,2.2043011,554,2.7077224,495,2.4193549,0,0.0,481,2.3558161,417,2.0430107,362,1.7693059,344,1.6813294,0,0.0,144,0.7038123,515,2.5171065
2025-10-07,15:45:27,532,2.6001954,316,1.544477,508,2.4828935,595,2.9130011,0,0.0,482,2.3558161,469,2.2922776,362,1.7693059,311,1.5151515,1,0.0,132,0.6451613,515,2.5171065
2025-10-07,15:45:27,534,2.6099706,507,2.4731183,508,2.4828935,595,2.9130011,110,0.5376344,482,2.3558161,469,2.2922776,399,1.9501467,417,2.0381231,177,0.8602151,132,0.6451613,563,2.7517107
2025-10-07,15:45:27,562,2.7468231,507,2.4731183,603,2.9423265,580,2.8347995,240,1.1730205,482,2.3558161,432,2.1114368,451,2.2043011,467,2.2776148,177,0.8602151,132,0.6451613,578,2.8250244
2025-10-07,15:45:27,562,2.7468231,509,2.4926686,670,3.2746823,607,2.9667645,240,1.1730205,480,2.346041,492,2.4046922,470,2.2971652,467,2.2776148,194,0.9481916,116,0.5669599,578,2.8250244
2025-10-07,15:45:27,556,2.7174976,405,1.9794722,602,2.9423265,607,2.9667645,186,0.9090909,481,2.3509285,492,2.4046922,470,2.2971652,476,2.3264906,198,0.9677419,116,0.5669599,591,2.8885632
2025-10-07,15:45:27,535,2.6148582,405,1.9794722,602,2.9423265,628,3.0694036,190,0.9286413,481,2.3509285,471,2.3020527,465,2.2727273,447,2.1896384,198,0.9677419,117,0.5718475,621,3.0351906
2025-10-07,15:45:27,535,2.6148582,402,1.9648094,613,2.9960899,622,3.0400782,190,0.9286413,481,2.3509285,466,2.2776148,472,2.3069403,447,2.1896384,237,1.1583577,109,0.5327469,621,3.0351906
2025-10-07,15:45:27,509,2.4926686,387,1.8914956,663,3.2404692,622,3.0400782,198,0.9677419,481,2.3509285,465,2.2727273,472,2.3069403,410,2.0087976,247,1.2072337,109,0.5327469,622,3.0400782
2025-10-07,15:45:27,501,2.4486804,363,1.7741935,663,3.2404692,639,3.123167,218,1.0654937,481,2.3509285,465,2.2727273,486,2.3802543,382,1.8670577,247,1.2072337,101,0.4936461,640,3.1280549
2025-10-07,15:45:28,501,2.4486804,363,1.7741935,655,3.2013686,629,3.0742912,197,0.9628543,481,2.3509285,451,2.2043011,500,2.4437928,382,1.8670577,250,1.226784,119,0.5816227,640,3.1280549
2025-10-07,15:45:28,505,2.4682307,355,1.7350929,572,2.8005865,629,3.0742912,197,0.9628543,480,2.346041,434,2.1260998,500,2.4437928,396,1.9354838,271,1.3245357,119,0.5816227,660,3.2258065
2025-10-07,15:45:28,546,2.6686218,335,1.6373411,572,2.8005865,640,3.1280549,136,0.6647117,481,2.3509285,434,2.1260998,511,2.5024438,417,2.0381231,271,1.3245357,134,0.6549364,655,3.2013686
2025-10-07,15:45:28,583,2.8494623,335,1.6373411,501,2.4486804,637,3.1133919,83,0.4056696,481,2.3509285,419,2.0478983,510,2.4926686,417,2.0381231,297,1.4516129,128,0.6304985,649,3.1720431
2025-10-07,15:45:28,583,2.8494623,326,1.5933529,495,2.4193549,638,3.1182795,83,0.4056696,482,2.3558161,417,2.0381231,510,2.4926686,411,2.0087976,307,1.5004888,128,0.6304985,649,3.1720431
2025-10-07,15:45:28,555,2.71261,264,1.2903225,495,2.4193549,638,3.1182795,16,0.0782014,483,2.3607037,417,2.0381231,486,2.3802543,368,1.7986314,307,1.5004888,119,0.5816227,635,3.1036167
2025-10-07,15:45:28,540,2.6392963,264,1.2903225,498,2.4340177,648,3.1671555,24,0.1124145,483,2.3607037,445,2.1749756,467,2.28739,368,1.7986314,333,1.627566,105,0.5131965,607,2.9667645
2025-10-07,15:45:28,540,2.6392963,289,1.4125122,533,2.605083,611,2.9863148,24,0.1124145,483,2.3607037,461,2.2580645,467,2.28739,368,1.7986314,370,1.8084066,105,0.5131965,607,2.9667645
2025-10-07,15:45:28,549,2.6832845,320,1.5640274,520,2.5415444,611,2.9863148,4,0.0195503,483,2.3607037,461,2.2580645,465,2.2727273,384,1.8768328,370,1.8084066,114,0.5571848,598,2.9227762
2025-10-07,15:45:28,533,2.605083,320,1.5640274,520,2.5415444,586,2.864125,79,0.3861192,483,2.3607037,464,2.2727273,470,2.3020527,408,1.9941349,446,2.1798632,109,0.5327469,614,3.0009775
2025-10-07,15:45:29,533,2.605083,343,1.6764418,517,2.5268817,563,2.7565982,79,0.3861192,483,2.3607037,462,2.2629521,466,2.2776148,408,1.9941349,461,2.2531769,109,0.5327469,614,3.0009775
2025-10-07,15:45:29,510,2.4975562,325,1.5884653,496,2.4242425,563,2.7565982,120,0.5865102,483,2.3607037,462,2.2629521,466,2.2776148,393,1.9208211,461,2.2531769,113,0.5474096,587,2.8690126
2025-10-07,15:45:29,487,2.3802543,284,1.3880743,496,2.4242425,517,2.5268817,122,0.5962855,482,2.3558161,473,2.3167155,482,2.3558161,387,1.8914956,476,2.3313782,114,0.5571848,577,2.8201368
2025-10-07,15:45:29,487,2.3802543,284,1.3880743,482,2.3558161,520,2.5415444,122,0.5962855,482,2.3558161,487,2.3802543,472,2.3069403,387,1.8914956,473,2.3118279,100,0.4887586,577,2.8201368
2025-10-07,15:45:29,480,2.346041,294,1.4369501,495,2.4193549,520,2.5415444,79,0.3861192,482,2.3558161,466,2.2825024,472,2.3069403,335,1.6373411,473,2.3118279,100,0.4887586,570,2.7859237
2025-10-07,15:45:29,477,2.3362658,338,1.6520039,495,2.4193549,556,2.7174976,77,0.3714565,481,2.3558161,466,2.2825024,461,2.2531769,302,1.4760509,492,2.4046922,88,0.4301075,570,2.7859237
2025-10-07,15:45:29,480,2.346041,338,1.6520039,494,2.4144673,576,2.8152492,168,0.8211144,481,2.3558161,464,2.2678397,473,2.3118279,302,1.4760509,501,2.4486804,103,0.5034213,570,2.7859237
2025-10-07,15:45:29,480,2.346041,379,1.8523949,469,2.2922776,576,2.8152492,168,0.8211144,481,2.3509285,470,2.3020527,473,2.3118279,309,1.5102639,501,2.4486804,103,0.5034213,560,2.7370479
2025-10-07,15:45:29,479,2.3411534,410,2.0039101,469,2.2922776,578,2.8250244,219,1.0703813,481,2.3509285,470,2.3020527,482,2.3558161,320,1.5640274,500,2.4437928,100,0.4887586,550,2.6881721
2025-10-07,15:45:29,494,2.4144673,410,2.0039101,475,2.3216031,607,2.9667645,266,1.2952101,481,2.3509285,485,2.3704789,484,2.3655913,320,1.5640274,484,2.3655913,103,0.5034213,550,2.6881721
2025-10-07,15:45:30,494,2.4144673,440,2.1505377,479,2.346041,604,2.9521017,266,1.2952101,481,2.3558161,483,2.3607037,484,2.3655913,362,1.7693059,484,2.3655913,103,0.5034213,523,2.5562072
2025-10-07,15:45:30,477,2.3313782,340,1.661779,479,2.346041,604,2.9521017,293,1.4320625,482,2.3558161,483,2.3607037,509,2.487781,379,1.8523949,414,2.0234604,92,0.4496579,505,2.4682307
2025-10-07,15:45:30,490,2.394917,340,1.661779,440,2.1505377,563,2.7517107,278,1.3587488,482,2.3558161,473,2.3167155,482,2.3558161,297,1.4516129,432,2.1065493,96,0.4643206,505,2.4682307
2025-10-07,15:45:30,490,2.394917,481,2.3509285,493,2.4095798,554,2.71261,278,1.3587488,483,2.3607037,455,2.2238514,456,2.228739,297,1.4516129,529,2.5904202,96,0.4643206,485,2.3704789
