date,timestamp,circuit_no1,voltage_no1,circuit_no2,voltage_no2,circuit_no3,voltage_no3,circuit_no4,voltage_no4,circuit_no5,voltage_no5,circuit_no6,voltage_no6,circuit_no7,voltage_no7,circuit_no8,voltage_no8,circuit_no9,voltage_no9,circuit_no10,voltage_no10,circuit_no11,voltage_no11,circuit_no12,voltage_no12
2025-10-07,15:46:19,367,1.7937438,518,2.5317693,306,1.4907136,496,2.4242425,645,3.1524928,480,2.346041,182,0.8895406,353,1.7253177,397,1.9403715,350,1.710655,0,0.0,764,3.7341154
2025-10-07,15:46:19,369,1.803519,518,2.5317693,480,2.346041,487,2.3802543,631,3.0840664,480,2.346041,199,0.9726295,380,1.8572825,397,1.9403715,352,1.7204301,0,0.0,764,3.7341154
2025-10-07,15:46:19,369,1.803519,543,2.6490715,499,2.4389052,487,2.3802543,631,3.0840664,480,2.3411534,207,1.0117302,380,1.8572825,347,1.6959922,352,1.7204301,0,0.0,776,3.7927663
2025-10-07,15:46:19,330,1.6129032,598,2.9227762,499,2.4389052,568,2.771261,599,2.9325514,480,2.346041,207,1.0117302,442,2.1554253,345,1.686217,399,1.9501467,0,0.0,631,3.088954
2025-10-07,15:46:20,328,1.6031281,598,2.9227762,556,2.7174976,628,3.0694036,502,2.453568,480,2.346041,274,1.3391985,510,2.4926686,345,1.686217,445,2.1749756,18,0.083089,631,3.088954
2025-10-07,15:46:20,328,1.6031281,627,3.0645161,659,3.2209189,721,3.5239491,502,2.453568,480,2.346041,332,1.6226784,510,2.4926686,363,1.7741935,445,2.1749756,18,0.083089,562,2.7468231
2025-10-07,15:46:20,318,1.5542521,672,3.289345,659,3.2209189,721,3.5239491,422,2.062561,480,2.346041,332,1.6226784,538,2.6295211,348,1.7008798,469,2.2922776,39,0.1906158,560,2.7321603
2025-10-07,15:46:20,266,1.3000977,672,3.289345,699,3.4164224,756,3.6950147,423,2.0674486,480,2.346041,414,2.0234604,527,2.5757575,379,1.8523949,535,2.6148582,0,0.0,560,2.7321603
2025-10-07,15:46:20,266,1.3000977,709,3.4701858,653,3.196481,736,3.5972629,423,2.0674486,481,2.3509285,467,2.2825024,485,2.3704789,379,1.8523949,522,2.5513196,0,0.0,542,2.653959
2025-10-07,15:46:20,223,1.0899316,643,3.1476052,542,2.653959,736,3.5972629,387,1.8914956,482,2.3558161,467,2.2825024,485,2.3704789,384,1.8768328,522,2.5513196,0,0.0,506,2.4731183
2025-10-07,15:46:20,227,1.1094819,643,3.1476052,542,2.653959,770,3.7634408,353,1.7253177,483,2.3607037,552,2.6979473,468,2.2825024,392,1.9208211,475,2.3216031,126,0.6109482,506,2.4731183
2025-10-07,15:46:20,227,1.1094819,504,2.4682307,417,2.0430107,804,3.9296188,325,1.5884653,483,2.3607037,600,2.9325514,460,2.2482893,392,1.9208211,449,2.194526,126,0.6109482,493,2.4095798
2025-10-07,15:46:20,256,1.2512219,475,2.3216031,339,1.6568915,804,3.9296188,325,1.5884653,483,2.3607037,589,2.878788,460,2.2482893,395,1.9305962,449,2.194526,563,2.7468231,337,1.6520039
2025-10-07,15:46:20,307,1.5004888,449,2.1994135,339,1.6568915,800,3.9100685,319,1.5591397,483,2.3607037,589,2.878788,462,2.2531769,394,1.9257087,472,2.3069403,774,3.7829912,337,1.6520039
2025-10-07,15:46:21,461,2.2531769,449,2.1994135,334,1.6324536,769,3.7585533,356,1.7399805,483,2.3607037,563,2.7517107,467,2.2825024,394,1.9257087,496,2.4242425,774,3.7829912,225,1.0997068
2025-10-07,15:46:21,461,2.2531769,446,2.1847508,464,2.2629521,770,3.7585533,356,1.7399805,482,2.3558161,494,2.4144673,467,2.2825024,370,1.8084066,496,2.4242425,870,4.2521996,141,0.6940371
2025-10-07,15:46:21,591,2.8885632,490,2.394917,464,2.2629521,770,3.7585533,363,1.7741935,481,2.3509285,494,2.4144673,460,2.2434018,335,1.6373411,523,2.5562072,934,4.5650048,141,0.6940371
2025-10-07,15:46:21,619,3.0254154,490,2.394917,608,2.9667645,776,3.7927663,347,1.6959922,481,2.3509285,427,2.0869989,468,2.28739,335,1.6373411,498,2.4340177,934,4.5650048,59,0.2883675
2025-10-07,15:46:21,619,3.0254154,536,2.6197457,788,3.8465297,749,3.6608016,347,1.6959922,480,2.346041,424,2.0723362,468,2.28739,316,1.544477,498,2.4340177,912,4.457478,62,0.2981427
2025-10-07,15:46:21,670,3.2746823,553,2.7028348,788,3.8465297,749,3.6608016,379,1.8523949,480,2.346041,424,2.0723362,449,2.1994135,333,1.6226784,463,2.2629521,931,4.5503421,62,0.2981427
2025-10-07,15:46:21,805,3.9345064,553,2.7028348,865,4.2326488,720,3.5190616,447,2.1847508,480,2.346041,441,2.1554253,426,2.0821114,357,1.744868,467,2.2825024,931,4.5503421,64,0.3128055
2025-10-07,15:46:21,770,3.7634408,582,2.8445747,756,3.6950147,621,3.0351906,513,2.5073314,479,2.3411534,510,2.4926686,439,2.1456501,357,1.744868,467,2.2825024,939,4.5943303,66,0.3225806
2025-10-07,15:46:21,770,3.7634408,592,2.8934507,758,3.7047899,621,3.0351906,513,2.5073314,478,2.3362658,511,2.4975562,439,2.1456501,411,2.0087976,499,2.4389052,906,4.4281526,68,0.3323558
2025-10-07,15:46:22,793,3.8758554,487,2.3802543,758,3.7047899,542,2.6490715,462,2.2580645,479,2.3411534,511,2.4975562,466,2.2776148,364,1.7790811,429,2.0967741,823,4.0224829,68,0.3323558
2025-10-07,15:46:22,791,3.8709676,487,2.3802543,737,3.6021504,433,2.121212,523,2.5562072,479,2.3411534,458,2.2385142,457,2.2336266,364,1.7790811,429,2.0967741,823,4.0224829,77,0.3763441
