date,timestamp,circuit_no1,voltage_no1,circuit_no2,voltage_no2,circuit_no3,voltage_no3,circuit_no4,voltage_no4,circuit_no5,voltage_no5,circuit_no6,voltage_no6,circuit_no7,voltage_no7,circuit_no8,voltage_no8,circuit_no9,voltage_no9,circuit_no10,voltage_no10,circuit_no11,voltage_no11,circuit_no12,voltage_no12
2025-10-07,16:05:35,491,2.3998046,560,2.7370479,445,2.1749756,963,4.7067447,354,1.7302053,489,2.3900294,393,1.9159335,724,3.5337243,378,1.8475074,389,1.9012707,290,1.4173998,310,1.5151515
2025-10-07,16:05:35,498,2.4340177,533,2.605083,445,2.1749756,910,4.4477029,364,1.7790811,489,2.3900294,399,1.9501467,889,4.3450637,369,1.803519,389,1.9061583,290,1.4173998,262,1.2805474
2025-10-07,16:05:35,504,2.4633431,533,2.605083,422,2.062561,862,4.2130985,491,2.394917,489,2.3900294,455,2.2189639,1023,5.0,369,1.803519,389,1.9061583,382,1.8670577,266,1.3000977
2025-10-07,16:05:35,504,2.4633431,477,2.3313782,370,1.8132943,862,4.2130985,491,2.394917,489,2.3900294,502,2.453568,1023,5.0,353,1.7253177,416,2.0332355,488,2.3851418,266,1.3000977
2025-10-07,16:05:35,490,2.394917,498,2.4340177,370,1.8132943,817,3.9931574,675,3.2991202,489,2.3900294,502,2.453568,1018,4.9804497,340,1.661779,463,2.2629521,488,2.3851418,254,1.2414467
2025-10-07,16:05:35,470,2.2971652,498,2.4340177,395,1.9305962,785,3.8367546,791,3.86608,489,2.3900294,493,2.4095798,948,4.633431,340,1.661779,463,2.2629521,560,2.7370479,277,1.3489736
2025-10-07,16:05:35,470,2.2971652,511,2.4975562,421,2.0527859,746,3.6461389,791,3.86608,489,2.3900294,474,2.3167155,948,4.633431,319,1.5591397,450,2.1994135,536,2.6197457,277,1.3489736
2025-10-07,16:05:36,462,2.2580645,494,2.4144673,421,2.0527859,746,3.6461389,813,3.9736071,489,2.3900294,474,2.3167155,763,3.7341154,330,1.6177908,432,2.1114368,536,2.6197457,258,1.2561095
2025-10-07,16:05:36,480,2.346041,494,2.4144673,420,2.0527859,706,3.455523,738,3.607038,489,2.3900294,484,2.3655913,284,1.3978494,332,1.6226784,432,2.1114368,488,2.3851418,210,1.0312805
2025-10-07,16:05:36,480,2.346041,476,2.3313782,417,2.0381231,671,3.2795699,738,3.607038,488,2.3851418,470,2.2971652,284,1.3978494,332,1.6226784,415,2.028348,483,2.3607037,210,1.0312805
2025-10-07,16:05:36,494,2.4144673,531,2.5953078,427,2.0869989,671,3.2795699,651,3.1818182,488,2.3851418,470,2.2971652,0,0.0,345,1.686217,404,1.9745846,483,2.3607037,216,1.0557184
2025-10-07,16:05:36,472,2.3118279,531,2.5953078,427,2.0869989,634,3.0987291,485,2.3753667,488,2.3851418,465,2.2727273,0,0.0,365,1.7839687,404,1.9745846,581,2.8396871,248,1.2121212
2025-10-07,16:05:36,472,2.3118279,535,2.6148582,420,2.0576735,609,2.9765396,485,2.3753667,488,2.3851418,495,2.4193549,0,0.0,365,1.7839687,374,1.827957,584,2.8592374,243,1.1876833
2025-10-07,16:05:36,467,2.28739,522,2.546432,428,2.0918865,609,2.9765396,287,1.4076246,488,2.3851418,495,2.4193549,0,0.0,373,1.8230695,409,1.9990225,584,2.8592374,243,1.1876833
2025-10-07,16:05:36,479,2.3411534,519,2.5366569,428,2.0918865,585,2.8592374,98,0.4789834,488,2.3851418,476,2.3264906,3,0.0146628,351,1.7155426,409,1.9990225,502,2.4584556,250,1.2170088
2025-10-07,16:05:36,479,2.3411534,519,2.5366569,419,2.0478983,554,2.7077224,98,0.4789834,488,2.3851418,492,2.4095798,10,0.0488759,351,1.7155426,491,2.3998046,465,2.2727273,276,1.3489736
2025-10-07,16:05:36,467,2.2825024,514,2.512219,423,2.0674486,554,2.7077224,56,0.2737048,488,2.3851418,527,2.5757575,10,0.0488759,344,1.6813294,520,2.5415444,465,2.2727273,276,1.3489736
2025-10-07,16:05:37,461,2.2531769,511,2.4975562,423,2.0674486,516,2.5219941,59,0.28348,488,2.3851418,527,2.5757575,298,1.4565005,373,1.8230695,551,2.6930597,455,2.228739,279,1.3587488
