date,timestamp,circuit_no1,voltage_no1,circuit_no2,voltage_no2,circuit_no3,voltage_no3,circuit_no4,voltage_no4,circuit_no5,voltage_no5,circuit_no6,voltage_no6,circuit_no7,voltage_no7,circuit_no8,voltage_no8,circuit_no9,voltage_no9,circuit_no10,voltage_no10,circuit_no11,voltage_no11,circuit_no12,voltage_no12
2025-10-07,15:56:43,494,2.4144673,506,2.4780059,475,2.3216031,615,3.0107527,571,2.7956989,489,2.3851418,509,2.487781,537,2.6246333,275,1.3391985,501,2.4486804,34,0.1612903,497,2.4291301
2025-10-07,15:56:43,494,2.4144673,364,1.7790811,439,2.1505377,619,3.0254154,571,2.7956989,488,2.3851418,502,2.4584556,547,2.6735094,275,1.3391985,501,2.4486804,17,0.083089,502,2.453568
2025-10-07,15:56:43,487,2.3802543,332,1.6226784,465,2.2727273,619,3.0254154,560,2.7419355,489,2.3900294,488,2.3851418,547,2.6735094,319,1.5542521,460,2.2531769,33,0.1564027,502,2.453568
2025-10-07,15:56:43,484,2.3655913,265,1.2952101,465,2.2727273,623,3.0449657,525,2.5659823,489,2.3900294,488,2.3851418,552,2.6979473,336,1.6422287,407,1.9941349,33,0.1564027,561,2.7370479
2025-10-07,15:56:43,484,2.3655913,265,1.2952101,453,2.2189639,639,3.123167,525,2.5659823,489,2.3900294,502,2.453568,508,2.4780059,336,1.6422287,407,1.9941349,33,0.1612903,577,2.8152492
2025-10-07,15:56:43,485,2.3704789,211,1.0312805,452,2.2091887,639,3.123167,475,2.3216031,489,2.3900294,536,2.6197457,508,2.4780059,352,1.7204301,348,1.7008798,2,0.0097752,577,2.8152492
2025-10-07,15:56:43,483,2.3607037,125,0.6158358,452,2.2091887,688,3.3626587,424,2.0723362,488,2.3851418,536,2.6197457,445,2.1749756,378,1.8426198,354,1.7302053,2,0.0097752,536,2.6246333
2025-10-07,15:56:43,491,2.3998046,125,0.6158358,410,2.0039101,716,3.4995112,454,2.2189639,488,2.3851418,491,2.3998046,549,2.6832845,378,1.8426198,354,1.7302053,17,0.083089,586,2.864125
2025-10-07,15:56:44,491,2.3998046,223,1.0899316,528,2.5806451,716,3.4995112,454,2.2189639,487,2.3851418,463,2.2678397,549,2.6832845,378,1.8475074,411,2.0087976,10,0.0488759,586,2.864125
2025-10-07,15:56:44,497,2.4291301,188,0.9188661,528,2.5806451,717,3.5043988,404,1.9745846,488,2.3851418,463,2.2678397,560,2.7370479,371,1.8132943,444,2.1700881,10,0.0488759,545,2.6637342
