date,timestamp,circuit_no1,voltage_no1,circuit_no2,voltage_no2,circuit_no3,voltage_no3,circuit_no4,voltage_no4,circuit_no5,voltage_no5,circuit_no6,voltage_no6,circuit_no7,voltage_no7,circuit_no8,voltage_no8,circuit_no9,voltage_no9,circuit_no10,voltage_no10,circuit_no11,voltage_no11,circuit_no12,voltage_no12
2025-10-07,15:58:15,584,2.8543499,764,3.7341154,522,2.5513196,403,1.969697,53,0.259042,487,2.3802543,502,2.4584556,415,2.0332355,223,1.0899316,428,2.0918865,31,0.1515152,772,3.773216
2025-10-07,15:58:15,565,2.7614858,617,3.0156403,522,2.5513196,407,1.9892473,55,0.2688172,487,2.3802543,502,2.4584556,310,1.5151515,252,1.2316716,406,1.9892473,18,0.0879765,798,3.9002934
2025-10-07,15:58:15,552,2.6979473,617,3.0156403,515,2.5171065,421,2.062561,57,0.2785924,487,2.3802543,456,2.228739,329,1.6080157,252,1.2316716,394,1.9257087,18,0.0879765,798,3.9002934
2025-10-07,15:58:15,552,2.6979473,575,2.8103616,497,2.4291301,433,2.121212,57,0.2785924,487,2.3802543,450,2.1994135,329,1.6080157,269,1.3147606,394,1.9257087,15,0.0733138,766,3.7438905
2025-10-07,15:58:15,548,2.6783969,566,2.7614858,497,2.4291301,433,2.121212,60,0.2932551,488,2.3851418,450,2.1994135,371,1.8132943,262,1.2756598,427,2.0869989,9,0.0439883,715,3.4897361
2025-10-07,15:58:16,562,2.7468231,566,2.7614858,502,2.453568,444,2.1700881,62,0.3030303,488,2.3851418,476,2.3264906,339,1.6568915,262,1.2756598,511,2.4975562,9,0.0439883,715,3.4897361
2025-10-07,15:58:16,562,2.7468231,618,3.0205278,503,2.4584556,455,2.2238514,62,0.3030303,488,2.3851418,495,2.4193549,339,1.6568915,303,1.4809384,511,2.4975562,23,0.1124145,612,2.9912024
2025-10-07,15:58:16,579,2.8299119,672,3.2844574,503,2.4584556,455,2.2238514,64,0.3128055,487,2.3802543,495,2.4193549,334,1.6324536,297,1.4516129,545,2.6637342,23,0.1124145,518,2.5317693
2025-10-07,15:58:16,552,2.6979473,672,3.2844574,473,2.3118279,428,2.0918865,89,0.4349951,487,2.3802543,502,2.453568,335,1.6373411,342,1.6715542,562,2.7468231,17,0.0879765,518,2.5317693
2025-10-07,15:58:16,552,2.6979473,761,3.7194526,455,2.2238514,409,2.0039101,89,0.4349951,488,2.3851418,475,2.3216031,323,1.5786902,342,1.6715542,562,2.7468231,17,0.0879765,503,2.4584556
2025-10-07,15:58:16,514,2.512219,859,4.1984358,470,2.2922776,409,2.0039101,126,0.6158358,487,2.3802543,475,2.3216031,323,1.5786902,366,1.7839687,584,2.8543499,34,0.1661779,497,2.4291301
2025-10-07,15:58:16,529,2.5855327,919,4.4916911,470,2.2922776,396,1.9403715,152,0.742913,487,2.3802543,500,2.4437928,378,1.8475074,354,1.7302053,573,2.8005865,29,0.1368524,497,2.4291301
